<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
"Conduct RA-O at Site SS014  CG022 at Laughlin AFB, Texas",,17,,Department of the Air Force,,US,78235,<AMDCSS>,R,562910,0bb80080-8a77-11e7-89d0-1cc1de329608,FA8903-17-R-0053,https://www.fbo.gov/notices/58cee7afefbd4bb19ff5fc798735fc52,AFICA,AFICA- CONUS,N/A,090617,Link To Document,COMBINE  ,0822,"Johanna G Mendiola, Contracting Officer, Phone 210-395-8734, Email johanna.mendiola@us.af.mil - Angelica L. Alcayde, Contract Specialist, Phone 2103958725, Email angelica.alcayde@us.af.mil",Total Small Business
Waste Water Pumping - State of North Dakota,,17,,Department of the Army,1108 South R Street Fort McCoy WI 54656-5142,US,,<AMDCSS>,J,562211,0bb800ad-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-0107,https://www.fbo.gov/notices/5d01d9107f5daab8bf317510cec4dcc7,"Army Contracting Command, MICC",MICC - Fort McCoy (W911SA),54656-5142,071117,Link To Document,COMBINE  ,0710,"Katie Opper, Contract Specialist, Phone 6083885535, Email katie.j.opper.civ@mail.mil",Total Small Business
N--HVAC Replacement  Upgrade - Del Rio ,02282018,17,,Department of Homeland Security,"1300 Pennsylvania Ave, NW, Washington, DC 20229",-,-,<AMDCSS>,N,,0bb800c7-8a77-11e7-89d0-1cc1de329608,PR20101231,https://www.fbo.gov/spg/DHS/USCS/PDDC20229/PR20101231/listing.html,Customs and Border Protection,Procurement Directorate - DC,22030,090117,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
JET EDGE REPAIR,,17,,Department of the Army,7 FRANKFORD AVE Anniston AL 36201-4199,,,<AMDCSS>,J,333517,0bb800a6-8a77-11e7-89d0-1cc1de329608,W911KF-17-Q-0052,https://www.fbo.gov/notices/3e2cda8f0a2f97bb1b86a4806c901937,Army Contracting Command,ACC - WRN (W911KF)(ANAD),36201-4199,082517,Link To Document,COMBINE  ,0822,"Barbara Gunter, Purchasing Agent, Phone 2562403715, Email barbara.b.gunter.civ@mail.mil - Yvonne Land, Chief Contracting Division, Phone 256-235-7124, Email yvonne.s.land.civ@mail.mil",
65--Sound Booth    ,09302017,17,christopher.blazejewski@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Network Contracting Office (NCO) 10;260 E. University Avenue;Cincinnati OH  45219,,,<AMDCSS>,65,423450,0bb800c2-8a77-11e7-89d0-1cc1de329608,VA25017Q0910,https://www.fbo.gov/spg/VA/CiVAMC/VAMCCO80220/VA25017Q0910/listing.html,Cincinnati VAMC,Department of Veterans Affairs Medical Center,45219,083117,christopher.blazejewski@va.gov,COMBINE  ,0822,Chris BlazejewskiContract Specialist513-559-3707christopher.blazejewski@va.gov,
D--US FWS R7 DOCUMENT SCANNING PROJECT,09152017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GE1011 E TUDOR ROADANCHORAGEAK99503-6199US",,,<AMDCSS>,D,518210,0bb80109-8a77-11e7-89d0-1cc1de329608,F17PS01328,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01328/listing.html,Fish and Wildlife Service,CGS-WO,99503,083117,Link To Document,COMBINE  ,0822,"Kuntz, Anthony",
VG Studio MAX 3.0,,17,,Department of the Army,6001 COMBAT DR ABER PROV GRD  MD 21005-1846,US,21005,<AMDCSS>,70,511210,0bb800a1-8a77-11e7-89d0-1cc1de329608,W91ZLK-17-T-0213,https://www.fbo.gov/notices/914906fece232644ffaa93a2907a4d14,Army Contracting Command,ACC - APG (W91ZLK) TENANT CONTRACTING DIV,21005-1846,082517,Link To Document,COMBINE  ,0822,"Toni M Foster, Email toni.m.foster.civ@mail.mil",Total Small Business
58--Motorola Enterprise Land Mobile Radio (ELMR) upgrade,02202018,17,,Department of the Navy,"1968 Gilbert Street, Norfolk, VA 23511",-,-,<AMDCSS>,58,,0bb80144-8a77-11e7-89d0-1cc1de329608,N0018917Q0181-01,https://www.fbo.gov/spg/DON/NAVSUP/N00189/N0018917Q0181-01/listing.html,Naval Supply Systems Command,NAVSUP Fleet Logistics Center Norfolk,22030,082417,Link To Document,COMBINE  ,0822,"Name: Carlton Walton, Title: Contracting Specialist, Phone: 7574431390, Fax: , Email: carlton.walton@navy.mil;",N/A
Prefabricated Wood Building,,17,,Department of the Air Force,4380B Alabama Rd Moody AFB GA 31699-1794,US,31605,<AMDCSS>,54,321992,0bb80087-8a77-11e7-89d0-1cc1de329608,FA4830-17-Q-Z096,https://www.fbo.gov/spg/USAF/ACC/347CONS/FA4830-17-Q-Z096/listing.html,Air Combat Command,23 CONS,31699-1794,082517,Link To Document,COMBINE  ,0822,"Candace S Kerr, Phone 2292573690, Email candace.kerr.3@us.af.mil",N/A
Project Management Training Courses,,17,,Department of Homeland Security,"26 Federal Plaza, Suite 1337 New York NY 10278",US,10007,<AMDCSS>,U,611430,0bb80105-8a77-11e7-89d0-1cc1de329608,HSFE02-17-Q-0025,https://www.fbo.gov/spg/DHS/FEMA/RegII/HSFE02-17-Q-0025/listing.html,Federal Emergency Management Agency,Region II,10278,082917,Link To Document,COMBINE  ,0822,"Suzanna A. Espinoza, Contracting Specialist, Phone 2022865263, Email suzanna.espinoza@fema.dhs.gov - Tiffany Strickland, Regional Contracting Officer, Phone 202-716-0605, Email tiffany.strickland@fema.dhs.gov",Total Small Business
"F--ARPO Hazardous Wood Fuel Reduction, Gillett, AR",09162017,17,,Department of the Interior,"NPS, MWR - Missouri MABO11 North 4th StreetSt LouisMO63102US",,,<AMDCSS>,F,115310,0bb8012f-8a77-11e7-89d0-1cc1de329608,P17PS02300,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02300/listing.html,National Park Service,NPS - All Offices,63102,090117,Link To Document,COMBINE  ,0822,"Dyke, Terri",
SPRINKLER SYSTEM MODIFICATION,,17,,Department of the Army,72 LYME ROAD HANOVER NH 03755-1290,US,03755,<AMDCSS>,J,238220,0bb8015b-8a77-11e7-89d0-1cc1de329608,W913E517T0021,https://www.fbo.gov/spg/USA/COE/332/W913E517T0021/listing.html,U.S. Army Corps of Engineers,"USACE CRRAEL, Hanover",03755-1290,082917,Link To Document,COMBINE  ,0822,"Wendy A. Adams, Contract Specialist, Phone 6036464323, Email wendy.a.adams@usace.army.mil",Total Small Business
Windscreens,,17,,Department of the Air Force,1201 Edward H White II St MS 7200 Patrick AFB FL 32925-3238,,,<AMDCSS>,93,321911,0bb80091-8a77-11e7-89d0-1cc1de329608,FA2521-17-Q-B216,https://www.fbo.gov/spg/USAF/AFSC/45CONSb423/FA2521-17-Q-B216/listing.html,Air Force Space Command,45CONS (Bldg 423),32925-3238,083017,Link To Document,COMBINE  ,0822,"Quanisha N. Barkley , Phone 3214946287, Email quanisha.barkley@us.af.mil",
Skiatook Lab Rehab,,17,,Department of the Army,Attn:  CESWT- CTr1645 South 101st East Avenue Tulsa OK 74128-4609,US,74070,<AMDCSS>,Z,236220,0bb80167-8a77-11e7-89d0-1cc1de329608,W912BV17R0060,https://www.fbo.gov/spg/USA/COE/DACA56/W912BV17R0060/listing.html,U.S. Army Corps of Engineers,"USACE District, Tulsa",74128-4609,083017,Link To Document,COMBINE  ,0822,"Sina C. Sullivan, Contract Specialist, Phone 9186697279, Email sina.c.sullivan@usace.army.mil - Diane Cianci, Contracting Officer, Phone 9186697458, Email diane.cianci@usace.army.mil",Total Small Business
DOT FTA Comprehensibe Oversight Review and Technical Assistance Program (CORTAP RFP DTFT6017R00011.,,17,,Department of Transportation,1200 New Jersey Ave Washington DC 20590,US,20590,<AMDCSS>,R,541611,0bb8014f-8a77-11e7-89d0-1cc1de329608,DTFT6017R00011,https://www.fbo.gov/spg/DOT/TASC/TASCASD/DTFT6017R00011/listing.html,Office of the Secretary of Tranportation (OST) Procurement Operations,OST Acquisition Services Division,20590,082517,Link To Document,COMBINE  ,0822,"Ervin R. Spivey, Supervisory Contract Specialist, Phone 2023663300, Email ervin.spivey@dot.gov - Stephanie Cooke-Nwadibia, Senior Contract Specialist, Phone 2023667072, Email stephanie.cooke-nwadibia@dot.gov",Total Small Business
70--Lunchbox Computer (Three Monitors),09122017,17,,Department of the Navy,"N61340 Naval Air Warfare Center Training Systems Division 12350 Research Parkway  Orlando, FL",,,<AMDCSS>,70,334111,0bb8013b-8a77-11e7-89d0-1cc1de329608,N6134017R0080,https://www.fbo.gov/spg/DON/NAVAIR/N61339/N6134017R0080/listing.html,Naval Air Systems Command,Naval Air Warfare Center Training Systems Division,32826,,Link To Document,COMBINE  ,0822,Andrew Mohr 407-380-4402 Andrew Mohr407-380-4402andrew.mohr@navy.mil,
D--OPTION - Emergecncy Reporting System Maintenance,02102018,17,,Department of the Army,"31 Quartermaster Road, Fort Drum, NY 13602",US,13602,<AMDCSS>,D,,0bb800db-8a77-11e7-89d0-1cc1de329608,W911S2-17-Q-3787,https://www.fbo.gov/notices/925cc7aaba58a789c5b1de379bbb181f,FedBid,FedBid.com -- for Department of Army procurements only,22030,081417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
52--OPTION - Rotor Track and Balance,02282018,17,,Department of the Navy,"Hwy 547, Lakehurst, NJ 08733",-,-,<AMDCSS>,52,,0bb80136-8a77-11e7-89d0-1cc1de329608,N68335-17-P-0451A,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-P-0451A/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,22030,090117,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
TRS-3D/16-ES (AN/SPS-75) Radar System Parts,,17,,Department of Homeland Security,"2401 Hawkins Point RoadrBuilding 31, Mail Stop 26 Baltimore MD 21226-5000",,,<AMDCSS>,58,334511,0bb80170-8a77-11e7-89d0-1cc1de329608,HSCG40-17-Q-31729,https://www.fbo.gov/spg/DHS/USCG/USCGELC/HSCG40-17-Q-31729/listing.html,United States Coast Guard (USCG),USCG Surface Forces Logistics Center (SFLC) ,21226-5000,082817,Link To Document,COMBINE  ,0822,"Katie M H Cornelia, Phone 410-762-6706, Email Katie.M.Cornelia@uscg.mil",
Base Laundry Services,,17,,Department of the Air Force,,GB,,<AMDCSS>,S,812332,0bb8017c-8a77-11e7-89d0-1cc1de329608,FA5587-17-Q-0025,https://www.fbo.gov/notices/ba4c5daea2a063c6533770337501db64,US Air Force Europe,48 CONS/LGC - Lakenheath ,09461-0270,091117,Link To Document,COMBINE  ,0822,"Kim E. Baker, Ms., Phone 01638521223, Email kim.baker.3.gb@us.af.mil - Tyler Walker, SSgt, Phone 01638522085, Email tyler.walker.4@us.af.mil",N/A
54--36 x 10 Mobile Office Trailer,02252018,17,,Department of the Army,"4340 Magruder Ave, Columbia, SC 29223",US,36362,<AMDCSS>,54,,0bb800ea-8a77-11e7-89d0-1cc1de329608,W9124C-17-R-5106,https://www.fbo.gov/notices/dd8582eb1b915b360da1538962456cf6,FedBid,FedBid.com -- for Department of Army procurements only,22030,082917,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Ford Diesel Engine Assembly ,,17,,Department of the Army,FRANCIS S. GABRESKI ARPT (ANG)rBLDG 250 WESTHAMPTON BEACH NY 11978-1201,US,11978,<AMDCSS>,28,336310,0bb8011a-8a77-11e7-89d0-1cc1de329608,W912PQ-17-T-0344,https://www.fbo.gov/spg/USA/NGB/DAHA30-2/W912PQ-17-T-0344/listing.html,National Guard Bureau,"106 MSG/MSC, NY ANG",11978-1201,091517,Link To Document,COMBINE  ,0822,"Fred Rodriguez, Phone 631-723-7562, Email fred.rodriguez1.mil@mail.mil",N/A
Metallographic Grinding/Polishing Machine,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",US,20899,<AMDCSS>,66,334516,0bb80127-8a77-11e7-89d0-1cc1de329608,SB134117RQ0756,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB134117RQ0756/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,072417,Link To Document,COMBINE  ,0720,"Wendy Paulo, Contracting Officer, Phone 3019753976, Email Wendy.Paulo@nist.gov",Total Small Business
Stormwater Pond Inspection and Cleanup,,17,,Department of Homeland Security,1664 Weeksville Road Elizabeth City NC 27909-6404,US,27909,<AMDCSS>,S,561730,0bb8016d-8a77-11e7-89d0-1cc1de329608,17-817PEB700,https://www.fbo.gov/notices/5545495e7b17656724f216a75793d3e5,United States Coast Guard (USCG),USCG Base Elizabeth City,27909-6404,082517,Link To Document,COMBINE  ,0822,"MYRANDA F. LANDON, SK2, Phone 2523345056, Email MYRANDA.F.LANDON@USCG.MIL - Gina M Kern, Contracting Officer, Phone 2523356052, Fax 252-335-6450, Email gina.m.kern@uscg.mil",N/A
Metallographic Grinding/Polishing Machine,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",US,20899,<AMDCSS>,66,334516,0bb80128-8a77-11e7-89d0-1cc1de329608,SB134117RQ0756,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB134117RQ0756/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,082817,Link To Document,COMBINE  ,0822,"Wendy Paulo, Contracting Officer, Phone 3019753976, Email Wendy.Paulo@nist.gov",Total Small Business
Bone Densitometer,09302017,17,,Department of the Army,"Attn:  MCMR-AAAr820 Chandler Street Frederick, MD 21702-5014 MD 21702-5014",US,,<AMDCSS>,65,339112,0bb80169-8a77-11e7-89d0-1cc1de329608,W81XWH-17-T-0313,https://www.fbo.gov/spg/USA/USAMRAA/DAMD17/W81XWH-17-T-0313/listing.html,U.S. Army Medical Research Acquisition Activity,U.S. Army Medical Research Acquisition Activity,21702-5014,082417,Link To Document,COMBINE  ,0822,"BRIAN MILLER, Email brian.d.miller1.civ@mail.mil",N/A
Hazardous Waste Pickup and Disposal,,17,,Department of Commerce,"SSMC3 - Room 10350/NMAO2r1315 East West Highway, 10th Floor Silver Spring MD 20910",US,97365,<AMDCSS>,F,562910,0bb8012c-8a77-11e7-89d0-1cc1de329608,NMAN7100-17-01612,https://www.fbo.gov/spg/DOC/NOAA/OMAOMD/NMAN7100-17-01612/listing.html,National Oceanic and Atmospheric Administration (NOAA),Office of Marine and Aviation Operations,20910,082417,Link To Document,COMBINE  ,0822,"Joel Heisler, Acqusition Management Specialist, Phone 641-867-8763, Fax 541-867-8864, Email Joel.Heisler@noaa.gov - BEVERLY J PARKER, Acquisition Management Specialist, Phone 541-867-8730, Fax 541-867-8864, Email BEVERLY.J.PARKER@NOAA.GOV",Total Small Business
Phosphor Grade 99.99% (4N) Europium Oxide,,17,,Defense Logistics Agency,8725 John J. Kingman RoadrSuite 3229 Fort Belvoir VA 22060-6223,,,<AMDCSS>,96,212299,0bb800d0-8a77-11e7-89d0-1cc1de329608,SP8000-17-R-0022,https://www.fbo.gov/spg/DLA/J3/DNSC/SP8000-17-R-0022/listing.html,DLA Acquisition Locations,DLA Strategic Materials,22060-6223,090117,Link To Document,COMBINE  ,0822,"Yazmin Mendoza, Contract Specialist, Phone 7037672165, Email yazmin.mendoza@dla.mil - Noelle J. Albert, Contracting Officer, Phone 7037676481, Email noelle.albert@dla.mil",
Remove and Replace Chill Water Line Insulation,,17,,Department of Homeland Security,4640 Urquhart Street New Orleans LA 70117-4698,US,77550,<AMDCSS>,N,238290,0bb8016e-8a77-11e7-89d0-1cc1de329608,HSCG29-17-Q-PMW224,https://www.fbo.gov/spg/DHS/USCG/COUSCGISCNO/HSCG29-17-Q-PMW224/listing.html,United States Coast Guard (USCG),USCG Base New Orleans,70117-4698,082217,Link To Document,COMBINE  ,0822,"Jimmie R. Johnson, Fax 504 253-4550, Email jimmie.r.johnson@uscg.mil",Total Small Business
