<AWDNBR>,<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<LINENBR>,<OFFADD>,label,<CLASSCOD>,<NAICS>,<AWDAMT>,iname,<AWDDATE>,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<DATE>,<DESC>,<AWARDEE>,<CONTACT>,<NTYPE>
80KSC017C0012,Laboratory Support Services and Operations (LASSO) contract,10022017,17,,National Aeronautics and Space Administration,,NASA/John F. Kennedy Space Center John F. Kennedy Space Center FL 32899,<AWARD>,R,541380,"$69,445,204.00",0bb803a2-8a77-11e7-89d0-1cc1de329608,080117,NNK17600289R,https://www.fbo.gov/spg/NASA/KSC/OPDC20220/NNK17600289R/listing.html,Kennedy Space Center,Office of Procurement,32899,0822,"NASA has selected URS Federal Services Inc., an AECOM company, of 20501 Seneca Meadows Parkway, Suite 300 Germantown, Maryland to fulfill the Laboratory Support Services and Operations (LASSO) at the agencys Kennedy Space Center in Florida.rLASSO is a cost plus fixed-fee contract that includes a two-month phase-in period, which began Aug. 2, followed by a two-year base period and three one-year options. The total potential value of the contract is approximately $69.4 million. The LASSO contract also includes the option to add ‘flex hours to cover additional work.rThe scope of this contract includes program management; laboratory maintenance and support; operational laboratory services; and professional and technical support for scientific research and engineering analysis, test and evaluation in laboratory environments.","URS Federal Services Inc., an AECOM company, 20501 Seneca Meadows Parkway, Suite 300 Germantown,, MD 20876-7019 US","Janice M. Nieves, Contracting Officer, Phone 3218673454, Email janice.m.nieves@nasa.gov - Suzanne M. Blubaugh, Phone 321.867.9503, Email suzanne.blubaugh@nasa.gov",PRESOL
SPE4A617PK844,"66--BALLOON,METEOROLOGI",09062017,17,Ramona.Beach@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONASC COMMODITIES DIVISION8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,66,326299,$65872.00,0bb802f0-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617Q1970,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617Q1970/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,"METEOROLOGICAL PRODUCTS, 1346 W ARROW HEAD RD STE 314  DULUTH 55811-2218 US",Ramona Beach804-279-3495Ramona.Beach@dla.mil,COMBINE  
80LARC17C0005,Official Request for Proposal (RFP) NASA LaRC Environmental Support Services (ESS) ,,17,,National Aeronautics and Space Administration,,"NASA/Langley Research Center, Mail Stop 144Industry Assistance Office Hampton VA 23681-0001",<AWARD>,F,541620,"$6,282,421.00",0bb803a3-8a77-11e7-89d0-1cc1de329608,072617,NNL17ZB22Z,https://www.fbo.gov/spg/NASA/LaRC/OPDC20220/NNL17ZB22Z/listing.html,Langley Research Center,Office of Procurement,23681-0001,0822,,"LaRC Environmental Support Services (ESS), 4001 S DECATUR BLVD #37-376, LAS VEGAS, NV 89103-5860 US","Morgan L. Whitfield, Contract Specialist, Phone 7578646635, Email larc-ess@mail.nasa.gov",PRESOL
SPE7M117P7849,"66--INDICATOR,DUAL VOLT",09062017,17,VANESHA.MARSHALL-ALLS@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMEMARITIME SUPPLY CHAINPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,66,334412,$46325.58,0bb8035d-8a77-11e7-89d0-1cc1de329608,082217,SPE7M917T5996,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7M117P7849.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,STATZ Corporation 1829 Bourbon Rd  Cross Plains 53528-9436 US,Vanesha Marshall-Alls614-692-8160VANESHA.MARSHALL-ALLS@DLA.MIL,
W911S2-17-P-0517,75--Toner and drum for HP printers,02072018,17,,Department of the Army,ALL,"600 Massie Rd, Charlottesville, VA 22903",<AWARD>,75,,"$7,782.41",0bb80388-8a77-11e7-89d0-1cc1de329608,082217,W1ETTJAGLCSNR0002,https://www.fbo.gov/notices/f8b28994a9742e1ad5ea59cd7d30588a,FedBid,FedBid.com -- for Department of Army procurements only,"CROWN EQUIPMENT CORPORATION [DUNS: 005040480],40 S WASHINGTON ST 44,NEW BREMEN OH 45869",0822,No Description Provided,"OFFICE PAL NJ LLC , THE [DUNS: 827861795],1000 Airport Road, Suite 201,LAKEWOOD NJ 08701","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
SPE7M517PE526,"59--RELAY,ELECTROMAGNET",09062017,17,Barbara.Hoffmann@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,335314,$42293.20,0bb80348-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TP517,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7M517PE526.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,GEMCAP COMPONENTS INC. 623 BICYCLE PATH UNIT 3  PRT JEFF STA 11776-3407 US,Barbara Hoffmann614-692-7537Barbara.Hoffmann@dla.mil,
W911S2-17-P-0526,42--Radiation Isotope Identification Device,01282018,17,,Department of the Army,ALL,"Bldg 172 Ruf Ave, Fort Rucker, AL 36362",<AWARD>,42,,"$11,482.22",0bb8038a-8a77-11e7-89d0-1cc1de329608,082217,RuckerGSORJG0001,https://www.fbo.gov/notices/a2f3b645f17c26150c70cb46c7f79fcc,FedBid,FedBid.com -- for Department of Army procurements only,"DS VENTURES [DUNS: 829922017],301 LITTLE GEM CT,MCDONOUGH GA 30253-6904",0822,No Description Provided,"LAURUS SYSTEMS, INC [DUNS: 027861462],8779 AUTUMN HILL DRIVE,ELLICOTT CITY MD 21043","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
P17PX01633,R--NR-WRD - MONTEZUMA WELL DITCH OWNERSHIP,09062017,17,,Department of the Interior,,"NPS, WASO - WCP ContractingP.O.Box 25287 MS WCPDenverCO80225US",<AWARD>,R,221310,"$29,970.00",0bb803b8-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DOI/NPS/APC-IS/Awards/P17PX01633.html,National Park Service,NPS - All Offices,80225,0822,IGF::OT::IGFNR-WRD - MONTEZUMA WELL DITCH OWNERSHIPX:NOGRN,"HARTE, JAMES J.11321 STELLA BLUE DRLOLOMT59847-8491US","GARTZKE, JENNIFER",
SPE8EN17P0929,70--CONTROL-POWER SUPPL,09062017,17,Lisa.DiBuono@dla.mil,Defense Logistics Agency,0001,DLA TROOP SUPPORTCONSTRUCTION  EQUIPMENT T  IFO EQ700 ROBBINS AVENUEPHILADELPHIA PA  19111-5096USA,<AWARD>,70,336992,$55205.00,0bb80376-8a77-11e7-89d0-1cc1de329608,082217,SPE8EN17T2699,https://www.fbo.gov/spg/DLA/J3/DSCP-I-BSM/Awards/SPE8EN17P0929.html,DLA Acquisition Locations,DLA Troop Support - Construction  Equipment - BSM,19111,0822,Link To Document,"WINDWARD ENTERPRISES, LLC DBA 516 BROWNS COVE RD STE N  RIDGELAND 29936-8179 US",Lisa DiBuono215-737-5419Lisa.DiBuono@dla.mil,
N00014-17-D-4003/N00014-17-F-M006,A--Manufacturing Technology (ManTech) xe2x80x93 Navy Composit,09062017,17,,Department of the Navy,,,<AWARD>,A,541712,"$7,487,833.00",0bb803d9-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DON/ONR/ONR/Awards/N00014-17-D-4003/N00014-17-F-M006.html,Office of Naval Research,ONR,"US21, INC. [DUNS: 040928496],2721 Prosperity Ave,Fairfax VA 22031",0822,IGF::CT::IGFManufacturing Technology (ManTech) Composites Manufacturing Technology Center (CMTC) Mega Rapid Response Task Order,ADVANCED TECHNOLOGY INTERNATIONAL315 SIGMA DRIVESUMMERVILLESC29486USA,"Dent, Mary Helen",
