<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
Electrical Control Equipment,06112019,17,,Department of the Army,"ATTN: CCTA-CSI-W, MS #445r6501 E Eleven Mile Road Warren MI 48397-5000",,48397-5000,<MOD>,61,335313,0bb801bd-8a77-11e7-89d0-1cc1de329608,SPRDL117R0191,https://www.fbo.gov/notices/4927ca8c4c79c19e8d245fc8b2c45f31,Defense Logistics Agency Detachment,DLA TACOM - Warren Acquisition Center,48397-5000,083117,Link To Document,PRESOL,0822,"Elaine M. Ionescu, Phone 5862823191, Email elaine.ionescu@dla.mil - DLA FBO Mailbox, Email DLALandWarrenFBO@dla.mil",Total Small Business
"SEAL, AIR, AIRCRAFT G; F-404 ACFT ENGINE",,17,,Defense Logistics Agency,8000 Jefferson Davis Highway Richmond VA 23297-5000,US,23297,<MOD>,28,336412,0bb801c1-8a77-11e7-89d0-1cc1de329608,SPE4A717R1423,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A717R1423/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297-5000,100617,Link To Document,PRESOL,0822,"Renee Griffin, Contracting Officer, Phone 8042793379, Fax 8042794439, Email renee.griffin@dla.mil",N/A
B. 8130 Hexavalent Chromium Abatement,,17,,Department of the Air Force,381 Third Street Dyess AFB TX 79607-1581,US,79606,<MOD>,F,562910,0bb8018a-8a77-11e7-89d0-1cc1de329608,FA4661-17-R-00XX,https://www.fbo.gov/notices/70b79b8c9cddc91e2303f25bdb7c4dc4,Air Force Global Strike Command,7 CONS,79607-1581,082317,Link To Document,PRESOL,0822,"Brittany Barlow, Phone 3256962289, Email brittany.barlow@us.af.mil - Hilary Ince, Flight Commander, Phone 2106528075, Email hilary.ince@us.af.mil",Total Small Business
E--TRAILER 1 REPLACEMENT,09202017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GR1875 CENTURY BOULEVARDSUITE 310ATLANTAGA30345-3310US",,,<MOD>,E,453930,0bb801d3-8a77-11e7-89d0-1cc1de329608,F17PS01017,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01017/listing.html,Fish and Wildlife Service,CGS-WO,30345,090517,Link To Document,PRESOL,0822,"Moody, Khanhthong",
B--Short Documentary Film,09142017,17,,Department of the Interior,"FWS, DIV OF CONTRACTING AND FA5275 Leesburg PikeMS: BMOFalls ChurchVA22041-3803US",,,<MOD>,B,512110,0bb801d6-8a77-11e7-89d0-1cc1de329608,F17PS01161,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01161/listing.html,Fish and Wildlife Service,CGS-WO,22041,083017,Link To Document,PRESOL,0822,"DeLawder, Sarah",
GTMP Twenty Fifth Air Force Support,09062017,17,,General Services Administration,"26 Federal Plaza, Room 20-100 New York NY 10278",US,,<MOD>,R,541690,0bb801c6-8a77-11e7-89d0-1cc1de329608,GSC-QF0B017-33155,https://www.fbo.gov/notices/d1da34b429da8bc6b977447244e37d0e,Federal Acquisition Service (FAS),Assisted Acquisition Services Division (2QFA),10278,090517,Link To Document,PRESOL,0822,"Frank P. Bottalico, Contract Specialist, Phone 2026742886, Email frank.bottalico@gsa.gov - Jakenberg N. Almuete, Contracting Officer, Phone 202-341-9033, Email jake.almuete@gsa.gov",N/A
D--Scientific Review (SR) and Scientific Portfolio Analysis (SPA) Services ,,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstitutesBethesdaMD20892-7511",,,<MOD>,D,541511,0bb801f5-8a77-11e7-89d0-1cc1de329608,HHSN26817HO00002R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26817HO00002R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,,Link To Document,PRESOL,0207,"Bocus, Chris D.",
"K--Western Arctic Parklands, Heritage Center Lighting Upgrade",09212017,17,,Department of the Interior,"NPS, ARO - Alaska Regional Office240 W. 5th Ave, Room 114AnchorageAK99501-2327US",,,<MOD>,K,238210,0bb80214-8a77-11e7-89d0-1cc1de329608,P17PS02591,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02591/listing.html,National Park Service,NPS - All Offices,99501,090617,Link To Document,PRESOL,0822,"Jordan, Amanda",
"Lease of Office Space for 2020 Area Census Offices x96 Savannah, GA",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80235-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7GA2237,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7GA2237/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"Dion D. Reid, Realty Service Specialist, Phone 4045622771, Email dion.reid@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
"Lease of office space in Durango, CO",,17,,General Services Administration,One Denver Federal CenterrBuilding 41rP.O. Box 25546 Denver CO 80225-0546,,,<MOD>,X,531120,0bb80244-8a77-11e7-89d0-1cc1de329608,7CO02424,https://www.fbo.gov/spg/GSA/PBS/8PT/7CO02424/listing.html,Public Buildings Service (PBS),R8 Rocky Mtn Region Acquisition Division (47PJ00),80225-0546,090817,Link To Document,PRESOL,0822,"Steven L. Vanderhye, Phone 720-21-0807, Email steven.vanderhye@gsa.gov",
Wilmington Readiness Center,,17,,Department of the Army,4201 Reedy Creek Road Raleigh NC 27607-6412,US,28405,<MOD>,Y,236220,0bb801f0-8a77-11e7-89d0-1cc1de329608,W91242-17-B-0005,https://www.fbo.gov/spg/USA/NGB/DAHA31/W91242-17-B-0005/listing.html,National Guard Bureau,USPFO for North Carolina,27607-6412,082917,Link To Document,PRESOL,0822,"Derek Meilinger, Phone 9196646019, Email derek.t.meilinger.mil@mail.mil",Total Small Business
"Engineering, Software Architectures, System Engineering, Business Operations Support to Command, Power and Integration (CPI) Directorate RFP",09232017,17,,Department of the Army,6001 COMBAT DRIVE Aberdeen Proving Ground MD 21005-1846,US,21005,<MOD>,A,541712,0bb80197-8a77-11e7-89d0-1cc1de329608,W56KGU-17-R-0010,https://www.fbo.gov/notices/22f9682438c2fe7305b02f4f3dcc0ee3,Army Contracting Command,ACC - APG (W56KGU) Division A,21005-1846,092217,Link To Document,PRESOL,0822,"Pierre R. Beljour, Contract Specialist , Phone 4438614680, Email pierre.r.beljour.civ@mail.mil - Nina M Bushnell, Contracting Officer, Phone 4438614649, Email nina.m.bushnell.civ@mail.mil",Woman Owned Small Business
"Orchard Removal and Weed Control, Hamilton City, CA",,17,,Department of the Army,1325 J. Street Sacramento CA 95814,US,,<MOD>,99,115112,0bb8025c-8a77-11e7-89d0-1cc1de329608,W91238-17-Q-0019,https://www.fbo.gov/spg/USA/COE/DACA05/W91238-17-Q-0019/listing.html,U.S. Army Corps of Engineers,"USACE District, Sacramento",95814,091117,Link To Document,PRESOL,0822,"Christopher Leif Toso, Phone 916-557-7857, Email christopher.l.toso@usace.army.mil - Krista J. OConnor, Contract Specialist, Phone 9165577792, Email krista.oconnor@usace.army.mil",Total Small Business
"WY NPS FRTE 700(4), Improve Safety at Gros Ventre Junction with a Modern Roundabout",,17,,Department of Transportation,610 East Fifth Street Vancouver WA 98661-3801,US,.,<MOD>,Y,237310,0bb801d0-8a77-11e7-89d0-1cc1de329608,DTFH7017R00009,https://www.fbo.gov/spg/DOT/FHWA/WFL/DTFH7017R00009/listing.html,Federal Highway Administration (FHWA),Western Federal Lands Highway Division,98661-3801,,Link To Document,PRESOL,0822,"Contracts G. Office, Western Federal Lands Highway Division, Phone (360)619-7520, Fax (360)619-7932, Email WFL.Contracts@dot.gov",N/A
F--BLUE CREEK BAY HAZARDOUS FUELS REDUCTION,09222017,17,,Department of the Interior,BLM ID-STATE OFC HRADM SVC (ID953)1387 S. VINNELL WAYBOISEID83709US,,,<MOD>,F,115310,0bb801ad-8a77-11e7-89d0-1cc1de329608,L17PS01166,https://www.fbo.gov/spg/DOI/BLM/ID/L17PS01166/listing.html,Bureau of Land Management,Idaho Region,83709,090717,Link To Document,PRESOL,0822,"Fort, Patricia",
Replace of a medium voltage switchgear,,17,,Department of the Army,Attn:  CESWF-CTrPO Box 17300 Fort Worth TX 76102-0300,US,,<MOD>,N,238210,0bb8024e-8a77-11e7-89d0-1cc1de329608,W9126G-17-R-0007,https://www.fbo.gov/spg/USA/COE/DACA63/W9126G-17-R-0007/listing.html,U.S. Army Corps of Engineers,"USACE District, Fort Worth",76102-0300,091417,Link To Document,PRESOL,0822,"JAMES T. HILL , Contract Specialist, Phone 8178861271, Email james.t.hill@usace.army.mil - Delbert Spriggs, Contract Specialist, Phone 817-886-1055, Email Delbert.Spriggs@usace.army.mil",Service-Disabled Veteran-Owned Small Business
J--Correction to VA258-17-Q-0783_1 Letter of Intent to Award Sole Source One Year Service General Electric Imaging Systems ,09112017,17,Michael.Banks6@VA.GOV,Department of Veterans Affairs,"Department of Veterans Affairs;VISN/18PHX;777 E. Missouri, Suite 300;Phoenix AZ  85014",USA,85723,<MOD>,J,811219,0bb80230-8a77-11e7-89d0-1cc1de329608,VA25817Q0783,https://www.fbo.gov/spg/VA/PhVAMC/HMC/VA25817Q0783/listing.html,Phoenix VAMC,Carl T. Hayden Department of Veterans Affairs Medical Center,85014,090117,michael.banks6@va.gov,PRESOL,0822,Michael Banksmichael.banks6@va.govmichael.banks6@va.gov,N/A
"58--Alaska Regional Office, S2 Redundancy upgrades",09202017,17,,Department of the Interior,"NPS, ARO - Alaska Regional Office240 W. 5th Ave, Room 114AnchorageAK99501-2327US",,,<MOD>,58,238210,0bb8020e-8a77-11e7-89d0-1cc1de329608,P17PS02605,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02605/listing.html,National Park Service,NPS - All Offices,99501,090517,Link To Document,PRESOL,0822,"Jordan, Amanda",
Y--GRTE Jenny Lake Rest Room Construction ,12102017,17,,Department of the Interior,"NPS, IMR - Northern Rockies MABOPO Box 168Mammoth Supply Center / 22 Stable StYellowstone NPWY82190US",,,<MOD>,Y,236220,0bb80210-8a77-11e7-89d0-1cc1de329608,P17PS01206,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01206/listing.html,National Park Service,NPS - All Offices,82190,082917,Link To Document,PRESOL,0822,"Hauch, Martin",
Fire Suppression Bags,,17,,Department of the Air Force,507 Symington DriverRoom W202 Scott AFB IL 62225-5022,,,<MOD>,42,314999,0bb80193-8a77-11e7-89d0-1cc1de329608,AFICA-FA4452-17-R-0047-(2),https://www.fbo.gov/spg/USAF/AMC/AMCLGCF/AFICA-FA4452-17-R-0047-(2)/listing.html,Air Mobility Command,763rd SCONS,62225-5022,082517,Link To Document,SRCSGT,0822,"Allye Wuest, Phone 6182569957, Email allye.wuest@us.af.mil",
Load Handling Equipment (LHE)  Training,,17,,Department of the Army,"1222 Spruce Street, Room 4.207 St. Louis MO 63103-2833",US,63386-1704,<MOD>,U,611519,0bb80249-8a77-11e7-89d0-1cc1de329608,W912P9-17-R-0040,https://www.fbo.gov/notices/076fc556fc1383d8e24e3b7faddbae66,U.S. Army Corps of Engineers,USACE District St. Louis,63103-2833,092217,Link To Document,PRESOL,0822,"Barrietta Killiebrew, Contract Specialist, Phone 314 331-8514, Email Barrietta.Killiewbrew@usace.army.mil - ",Total Small Business
"70--OPTION - Purchase maintenance, renewal, and technical support for Hewlett Packard Unified Function Tester (HP-UFT) Automated Testing Tool",02192018,17,,Department of Labor,"1100 Wilson Blvd, Arlington, VA 22209",US,15236,<MOD>,70,,0bb8022e-8a77-11e7-89d0-1cc1de329608,1645-PEI-MSHA-17-Q-NAT-0008,https://www.fbo.gov/spg/DOL/OASAM/WashingtonDC/1645-PEI-MSHA-17-Q-NAT-0008/listing.html,Office of the Assistant Secretary for Administration and Management ,Office of Procurement Services,22030,082317,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
N--Installation of Fire suppression system in the Ced,09162017,17,,Department of the Interior,"NPS, ARO - Alaska Regional Office240 W. 5th Ave, Room 114AnchorageAK99501-2327US",,,<MOD>,N,238220,0bb8020a-8a77-11e7-89d0-1cc1de329608,P17PS02703,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02703/listing.html,National Park Service,NPS - All Offices,99501,090117,Link To Document,PRESOL,0822,"Jordan, Amanda",
Masonry Repairs at the Edward Mac,,17,,Department of the Army,696 Virginia Road Concord MA 01742-2751,US,01742,<MOD>,56,238140,0bb80255-8a77-11e7-89d0-1cc1de329608,W912WJ-17-B-0022,https://www.fbo.gov/spg/USA/COE/DACA33/W912WJ-17-B-0022/listing.html,U.S. Army Corps of Engineers,"USACE District, New England",01742-2751,092217,Link To Document,PRESOL,0822,"Julio Hall, Phone 9783188035, Email Julio.E.Hall@usace.army.mil",Total Small Business
"Engineering, Software Architectures, System Engineering, Business Operations Support to Command, Power and Integration (CPI) Directorate",,17,,Department of the Army,6001 COMBAT DRIVE Aberdeen Proving Ground MD 21005-1846,US,21005,<MOD>,A,541712,0bb80195-8a77-11e7-89d0-1cc1de329608,W56KGU-17-R-0010,https://www.fbo.gov/notices/f289b7e3b8c2caaae1288d808ce750c6,Army Contracting Command,ACC - APG (W56KGU) Division A,21005-1846,,Link To Document,PRESOL,0321,"Pierre R. Beljour, Contract Specialist , Phone 4438614680, Email pierre.r.beljour.civ@mail.mil - Nina M Bushnell, Contracting Officer, Phone 4438614649, Email nina.m.bushnell.civ@mail.mil",Woman Owned Small Business
YCP INSPECTION Services ONLY,,17,,Department of the Army,"ATTN:  NGB-OPARC-AQr111 South George Mason DriverAHS-2, Suite T419Ar Arlington VA 22204-1382",US,22204-1375,<MOD>,R,611430,0bb801ed-8a77-11e7-89d0-1cc1de329608,W9133L-17-R-0030,https://www.fbo.gov/spg/USA/NGB/DAHA90/W9133L-17-R-0030/listing.html,National Guard Bureau,"National Guard Bureau, Operational Contracting",22204-1382,090117,Link To Document,PRESOL,0822,"Aaron D. Skinner, Contracting Officer, Phone 7036071141, Email aaron.d.skinner.civ@mail.mil",Competitive 8(a)
20--ELECTROFISHING BACKPACK SHOCKERS ,,17,,Department of the Interior,USGS OAG DENVER ACQUISITION BRANCHPO BOX 25046204 DENVER FEDERAL CENTERDENVERCO80225-0046US,,,<MOD>,20,334419,0bb80245-8a77-11e7-89d0-1cc1de329608,G17PS00921,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00921/listing.html,U. S. Geological Survey,USGS - All Offices,80225,,Link To Document,SNOTE,0822,"Meeker, Tracy",
STTS Specialty Skills Training,,17,,Department of the Air Force,350 Tully Street Hurlburt Field FL 32544-5810,US,32544,<MOD>,U,611699,0bb80192-8a77-11e7-89d0-1cc1de329608,FA4417-17-T-0019,https://www.fbo.gov/spg/USAF/AFSOC/16CS/FA4417-17-T-0019/listing.html,Air Force Special Operations Command,1 SOCONS- Hurlburt,32544-5810,082217,Link To Document,PRESOL,0822,"Abigail Geniec, Contract Specialist, Phone 8508847691, Email abigail.geniec.1@us.af.mil - Eric L. Moss, Contracting Officer, Phone 850-884-6196, Email eric.moss@us.af.mil",Total Small Business
