<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DATE>,<DESC>,<CONTACT>,<SETASIDE>
Intent to Award,,17,,Department of Commerce,"601 East 12th Street, Room 1756 Kansas City MO 64106",US,,<SNOTE>,66,334513,0adf8179-8a77-11e7-89d0-1cc1de329608,NWWG3400-17-00342,https://www.fbo.gov/spg/DOC/NOAA/CASC/NWWG3400-17-00342/listing.html,National Oceanic and Atmospheric Administration (NOAA),Eastern Acquisition Division - Kansas City,64106,080318,0822,Link To Document,"Jennifer Priebe, Phone 816-426-7470, Fax 757-664-3845, Email Jennifer.Priebe@noaa.gov",N/A
Notice of Intent to Award to Single Source.   Seimens Control Module Repair and Install at Camp Murray WA,,17,,Department of the Army,Building 32Camp Murray Tacoma WA 98430-5170,,,<SNOTE>,N,334512,0adf8177-8a77-11e7-89d0-1cc1de329608,F9X3CE7173AQ01,https://www.fbo.gov/spg/USA/NGB/DAHA45/F9X3CE7173AQ01/listing.html,National Guard Bureau,USPFO for Washington,98430-5170,,0822,Link To Document,"Matthew J. Berube, Phone 2535122186, Email matthew.j.berube2.mil@mail.mil",
Danoblat/Newaal Blade Tip grinder Maintenance,09052017,17,,Department of the Air Force,"3001 Staff Drive, Ste 1AG76A Tinker AFB OK 73145-3015",US,73145,<SNOTE>,J,811310,0adf814a-8a77-11e7-89d0-1cc1de329608,F3YCEB7160A104 ,https://www.fbo.gov/spg/USAF/AFMC/OCALCCC/F3YCEB7160A104 /listing.html,Air Force Materiel Command,PK/PZ Tinker AFB,73145-3015,,0822,Link To Document,"David W. Herrig, Contracting Officer, Phone 4057395819, Email david.herrig.1@us.af.mil",N/A
"66--Intent to Sole Source / Roche Diagnostic Corporation Reagents and Equipment (Roche 8000 analytics and COBAS 8100 Charlie Norwood VA Medical Center, Augusta GA  ",09212017,17,Jacquetta.White09@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;VISN 7 Network Contracting Activity;501 Greene Street;Hatcher Building - Suite 2;Augusta GA  30901,,,<SNOTE>,66,325413,0adf8156-8a77-11e7-89d0-1cc1de329608,VA24717Q0801,https://www.fbo.gov/spg/VA/AuVAMC/VAMCCO80220/VA24717Q0801/listing.html,Augusta VAMC,Department of Veterans Affairs Medical Center,30901,,0822,Jacquetta.White09@va.gov,Jacquetta O WhiteContract Specialist706-733-0188 x1104Jacquetta.White09@va.gov,
Notice of Intent to Sole Source,,17,,Department of the Army,10 South Howard Street Baltimore MD 21203,US,,<SNOTE>,Y,236220,0adf8193-8a77-11e7-89d0-1cc1de329608,W912DR-16-C-0004,https://www.fbo.gov/spg/USA/COE/DACA31/W912DR-16-C-0004/listing.html,U.S. Army Corps of Engineers,"USACE District, Baltimore",21203,041017,0328,Link To Document,"Tamara Udasco, Contract Specialist , Phone 4109620788, Email tamara.c.udasco@usace.army.mil",N/A
"J--Grand Teton National Park, Refurbish Existing  Supply New Ungulate Radio Collar",10312017,17,Alane_Fitzpatrick@nps.gov,Department of the Interior,"NPS, IMR - Northern Rockies MABOGrand Teton National ParkPO Box 170103 Headquarters Loop RoadMooseWY83012US",,,<SNOTE>,J,334220,0adf817f-8a77-11e7-89d0-1cc1de329608,P17PS02755,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02755/listing.html,National Park Service,NPS - All Offices,83012,,0822,alane_fitzpatrick@nps.gov,"Fitzpatrick, Alanealane_fitzpatrick@nps.gov",
"Y--632-16-104 Replace Roof, Bldg. 200  NOTICE OF BID CANCELLATION  ",09212017,17,michael.giaquinto2@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Network Contracting Office 2;James J. Peters VA Medical Center;130 West Kingsbridge Road;Bronx NY  10468-3904,,,<SNOTE>,Y,238160,0adf8159-8a77-11e7-89d0-1cc1de329608,VA24217B0723,https://www.fbo.gov/spg/VA/BroVANAP/VAMD/VA24217B0723/listing.html,Bronx VAMC (NAL),Department of Veterans Affairs,10468-3904,,0822,contracting specialist,Michael Giaquintocontracting specialist,
J--NVISION VLE IMAGING CONSOLE SERVICE at VA Loma Linda Healthcare System   ,09062017,17,hyacinthe.luna@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Network Contracting Office 22;4811 Airport Plaza Drive;Suite 600;Long Beach CA  90815,,,<SNOTE>,J,811219,0adf8173-8a77-11e7-89d0-1cc1de329608,VA26217N1786,https://www.fbo.gov/spg/VA/LBVANBC/VAMD/VA26217N1786/listing.html,Long Beach VANLO,Department of Veterans Affairs,90815,,0822,hyacinthe.luna@va.gov,Hyacinthe LunaContract Specialist562-766-2285hyacinthe.luna@va.gov,
J--Notice of Intent: Service Agreement Renewal-PerkinElmer Thermal Desorber/GC-MS,08312017,17,,Environmental Protection Agency,RTPPODUS Environmental Protection Agency109 T.W. Alexander DriveMail Code: AA005Research Triangle ParkNC27709USA,,,<SNOTE>,J,811219,0adf8185-8a77-11e7-89d0-1cc1de329608,RFQ-RT-17-00062,https://www.fbo.gov/spg/EPA/OAM/CMD/RFQ-RT-17-00062/listing.html,Office of Acquisition Management (OAM),RTP Procurement Operations Division (RTPPOD),27709,,0822,Link To Document,"Hairston, Nicole A.",
OVERHEAD SPEAKER REPAIR  REPLACEMENT ,,17,,Department of the Navy,54 Lewis Minor St Portsmouth VA 23708-2297,US,23708,<SNOTE>,J,811213,0adf815d-8a77-11e7-89d0-1cc1de329608,N0018318RCTE001,https://www.fbo.gov/spg/DON/BUMED/N00183/N0018318RCTE001/listing.html,Bureau of Medicine and Surgery,Naval Medical Center Portsmouth,23708-2297,082417,0822,Link To Document,"Shannon M. Caldow, Phone 757-953-5056, Fax 757-953-5738, Email shannon.m.caldow.civ@mail.mil",N/A
Saliva Samplesfor salivary cortisol and alpha amylase relative to CDC  Study of HPA and ANS in Stress,,17,,Department of Health and Human Services,"2920 Brandywine Road, Room 3000 Atlanta GA 30341-4146",US,16803,<SNOTE>,A,325414,0adf8162-8a77-11e7-89d0-1cc1de329608,2017-Q-67525,https://www.fbo.gov/spg/HHS/CDCP/PGOA/2017-Q-67525/listing.html,Centers for Disease Control and Prevention,Procurement and Grants Office (Atlanta),30341-4146,090417,0822,Link To Document,"Gordon D. Barritt, Contracting Officer, Phone 770 488 2724, Fax 770 488 2044, Email ins4@cdc.gov",Total Small Business
Nlyte Data Center Solution,,17,,Department of Justice,None Washington DC 20537,,,<SNOTE>,D,511210,0adf8169-8a77-11e7-89d0-1cc1de329608,D-17-SI-0161,https://www.fbo.gov/spg/DOJ/DEA/OAM/D-17-SI-0161/listing.html,Drug Enforcement Administration,Office of Acquisition Management,20537,082517,0822,Link To Document,"Frank C. Giguere, Phone 2023077987, Email Frank.C.Giguere@usdoj.gov",
Steller se lion research,09072017,17,,Department of Commerce,325 Broadway - MC3 Boulder CO 80305-3328,US,98070,<SNOTE>,B,541711,0adf817d-8a77-11e7-89d0-1cc1de329608,NFFS7300-17-03020CE,https://www.fbo.gov/spg/DOC/NOAA/MASC/NFFS7300-17-03020CE/listing.html,National Oceanic and Atmospheric Administration (NOAA),Western Acquisition Division - Boulder,80305-3328,090617,0822,Link To Document,"Clifford C. Edwards, Phone 3034976335, Fax 303497, Email clifford.c.edwards@noaa.gov",N/A
Repair Communication Modules,,17,,Department of the Air Force,9 Eglin Street Hanscom AFB MA 01731,,,<SNOTE>,J,811213,0adf8144-8a77-11e7-89d0-1cc1de329608,FA8307-17-R-0190,https://www.fbo.gov/spg/USAF/AFMC/ESC/FA8307-17-R-0190/listing.html,Air Force Materiel Command,AFLCMC - Hanscom,01731,082917,0822,Link To Document,"Nancy A Kerr, Contract Specialist, Phone 210-977-5396, Email nancy.kerr.1@us.af.mil - Christina L. Barr, Contracting Officer, Phone 2109775485, Email christina.barr.2@us.af.mil",
Software License,,17,,Department of Energy,Various Various locations NA 20585,,,<SNOTE>,70,511210,0adf816d-8a77-11e7-89d0-1cc1de329608,17SC001601,https://www.fbo.gov/spg/DOE/PAM/HQ/17SC001601/listing.html,Federal Locations,All DOE Federal Contracting Offices,20585,082817,0822,Link To Document,"Sandra Cullen, Purchasing Agent, Phone 6302522333, Email sandra.cullen@science.doe.gov",
R--DETENTION SERVICES - OJS,,17,,Department of the Interior,BIA SPRO 00003100 NORTH RIVERSIDE DRIVEContracting OfficeAnadarkoOK73005-0328US,,,<SNOTE>,R,922140,0adf815b-8a77-11e7-89d0-1cc1de329608,A17PS01293,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS01293/listing.html,Bureau of Indian Affairs,BIA - DAPM,73005,,0822,Link To Document,"Littlechief, Jocelyn",
J--Notice of Intent to Sole Source to Stryker Instruments    ,09212017,17,richard.coutermarsh@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office 1 (NE);VAMC Manchester;718 Smyth Road, BST Suite 105;Manchester NH  03104",,,<SNOTE>,J,811219,0adf8174-8a77-11e7-89d0-1cc1de329608,VA24117N0628,https://www.fbo.gov/spg/VA/MaVAMC608/MaVAMC608/VA24117N0628/listing.html,Manchester VAMC,Department of Veterans Affairs Medical Center,03104,,0822,Contracting Officer Email,Richard Coutermarsh603-626-6525Contracting Officer Email,
Intent to Sole Source,09302017,17,,Department of the Interior,"Interior Business Center, AQDDivision 4/ Branch 27301 West Mansfield AveD2940DenverCO80235",,,<SNOTE>,B,813312,0adf8170-8a77-11e7-89d0-1cc1de329608,D17PS00874,https://www.fbo.gov/notices/e2cb576e680a154a60dd98b5bb4235d1,Interior Business Center,AQD - Washington D.C.,80235,,0822,Link To Document,"Chick, Cynthia",
Intent to Award,,17,,Department of the Interior,USGS OAG RESTON ACQUISITION BRANCH205 NATIONAL CENTER12201 SUNRISE VALLEY DRIVERESTONVA20192US,,,<SNOTE>,66,334513,0adf8191-8a77-11e7-89d0-1cc1de329608,G17PS00929,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00929/listing.html,U. S. Geological Survey,USGS - All Offices,20192,,0822,Link To Document,"Jones, Lane",
65--INTENT TO SOLE SOURCE AUTOMATED ROCHE IHC/ISH SLIDE STAINING SYSTEM VAMC SALISBURY NC  ,09212017,17,darla.hurlock@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Network Contracting Office 6;100 Emancipation Drive;Hampton VA  23667,,,<SNOTE>,65,334516,0adf816f-8a77-11e7-89d0-1cc1de329608,VA24617Q1833,https://www.fbo.gov/spg/VA/HaVAMC/VAMCCO80220/VA24617Q1833/listing.html,Hampton VAMC,Department of Veterans Affairs Medical Center,23667,,0822,Contracting Officer,Darla J HurlockContracting Officer757-728-3120Contracting Officer,
NOTICE OF INTENT TO SOLE SOURCE,,17,,Department of Agriculture,,US,66506,<SNOTE>,66,334516,0adf8140-8a77-11e7-89d0-1cc1de329608,874124,https://www.fbo.gov/notices/a8bf5e4b76800a4ab783aa9f1e3bfd81,Agricultural Research Service,Western Business Service Center,Total Small Business,082817,0822,Link To Document,"Joseph A. Covarrubio, Contract Specialist, Fax 979-260-9413, Email joseph.covarrubio@ars.usda.gov",N/A
NATO Market Survey/Request for Information: Provision of  Multiband Deployable Satellite Ground Terminals Pool,09292017,17,,Department of Commerce,"1400 Pennsylvania Avenue, NWRoom 1099D Washington DC 20230",BE,,<SNOTE>,58,334220,0adf815c-8a77-11e7-89d0-1cc1de329608,MS-CO-14634-DSGT,https://www.fbo.gov/spg/DOC/BIS/comp99/MS-CO-14634-DSGT/listing.html,Bureau of Industry  Security,Department of Commerce,20230,092817,0822,Link To Document,"Lee Ann Carpenter, Phone 202-482-2583, Fax 202-482-5650, Email LeeAnn.Carpenter@bis.doc.gov",N/A
CYBEX NORM Extremity System upgraded with a HUMAC System,,17,,Department of the Army,BLDG 1 KANSAS ST Natick MA 01760-5011,,,<SNOTE>,65,339112,0adf814e-8a77-11e7-89d0-1cc1de329608,W911QY-17-T-0026,https://www.fbo.gov/notices/87f7bef914fa0cb45d791818bd3eff50,Army Contracting Command,ACC - APG (W911QY) Natick (SPS),01760-5011,090617,0822,Link To Document,"Lee A. Hess, Contracting OfficerCYBEX NORM Extremity System upgraded with a HUMAC System, Phone 3016198532, Email lee.a.hess.civ@mail.mil",
