AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Defense Logistics Agency,b6795f6b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5E317T6026,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Department of Energy,b6795f95-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,DE-WA0004421,17,Federal Locations,null,All DOE Federal Contracting Offices,AWARD,0810
Defense Logistics Agency,b6795f46-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17D0022,DLA Land and Maritime - BSM,COMBINE  ,0713
Department of the Air Force,b635f8c5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Combat Command,F2MTRP7199AW01,4 CONS,COMBINE  ,0728
Department of Homeland Security,b67960cd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Transportation Security Administration,HSTS05-17-Q-SAS003,Headquarters TSA,PRESOL,0731
Department of the Interior,b635f947-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,L17PC00024/L17PD00750,17,Bureau of Land Management,null,Arizona Region,AWARD,0811
Department of the Army,b67960ed-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Command,W81K02-17-T-0394,Western Regional Contracting Office,COMBINE  ,0804
Department of the Army,b67960e5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912EE-17-B-0006,"USACE District, Vicksburg ",PRESOL,0622
Department of Homeland Security,b6796102-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG85-17-N-P45N93,USCG Surface Forces Logistics Center (SFLC) Procurement Branch 2,SNOTE,0803
Department of the Navy,b67960a0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Naval Research,N00173-17-Q-0303,Naval Research Laboratory/Supply,SNOTE,0726
Department of Veterans Affairs,b679612c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Service Area Organization East,VA24017Q0146,VA Service Area Organization East,SNOTE,0518
Department of Veterans Affairs,b6795f86-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fargo VAMROC,VA26317Q0936,Department of Veterans Affairs Medical and Regional Office Center,COMBINE  ,0717
Department of Agriculture,b6795fa6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-82D7-S-17-0030 ,R-2 White River National Forest,PRESOL,0810
Defense Logistics Agency,b6795f4e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L217P1214,17,DLA Acquisition Locations,SPE7L317Q0343,DLA Land and Maritime - BSM,AWARD,0810
Department of Veterans Affairs,b6796121-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117N0749,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0630
Department of Commerce,b6795ff3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),NB685030-17-03714,Acquisition Management Division,SNOTE,0726
Department of Veterans Affairs,b6795fc0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Iowa City VAMC,VA26317N0957,Department of Veterans Affairs Medical Center,SRCSGT,0719
Department of Energy,b6795f92-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,DE-SP0000461,17,Federal Locations,null,All DOE Federal Contracting Offices,AWARD,0810
Defense Logistics Agency,b635f9d8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDM92,DLA Aviation - BSM,COMBINE  ,0718
Department of the Navy,b6796018-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N00421-17-T-0161,Naval Air Warfare Center Aircraft Division Pax River,COMBINE  ,0803
Department of the Navy,b6796016-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N68335-16-T-0344,Naval Air Warfare Center Aircraft Division Lakehurst,PRESOL,0711
Department of Health and Human Services,b6795fb4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,14,Health Resources and Services Administration,14-250-SOL-MedicalExpert,Office of Acquisitions Management and Policy,SNOTE,0502
Department of the Army,b635f90c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W15QKN-17-Q-1103,ACC - NJ (W15QKN),COMBINE  ,0727
Department of the Navy,b6796089-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038316G004N7008,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of the Army,b635f97f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRRA114D00480030,17,Defense Logistics Agency Detachment,null,DLA Aviation and Missile Command (Aviation),AWARD,0810
General Services Administration,b6795f8b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS04Q17DBC0018,17,Federal Acquisition Service (FAS),ID04170013,Assisted Acquisition Services Division (4QFA),AWARD,0726
Department of Homeland Security,b67960fc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-P-AG464,USCG Surface Forces Logistics Center (SFLC) ,COMBINE  ,0808
Defense Logistics Agency,b635f9a9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PA557,17,DLA Acquisition Locations,SPE4A517U0074,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f5e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17R0084,DLA Land and Maritime - BSM,COMBINE  ,0710
Department of Justice,b635f958-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Prisons,RFQP05101700023,FDC  Houston,COMBINE  ,0803
