label,iname
CONTRACTING_OFFICE_CODE,5700: DEPT OF THE AIR FORCE
CONTRACTING_OFFICE_CODE,97AK: DEFENSE INFORMATION SYSTEMS AGENCY (DISA)
CONTRACTING_OFFICE_CODE,9776: USTRANSCOM
CONTRACTING_OFFICE_CODE,97AE: DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)
CONTRACTING_OFFICE_CODE,97JC: MISSILE DEFENSE AGENCY (MDA)
CONTRACTING_OFFICE_CODE,97HW: UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)
CONTRACTING_OFFICE_CODE,97F5: WASHINGTON HEADQUARTERS SERVICES (WHS)
CONTRACTING_OFFICE_CODE,97AT: DEFENSE SECURITY COOPERATION AGENCY
CONTRACTING_OFFICE_CODE,97AS: DEFENSE LOGISTICS AGENCY
CONTRACTING_OFFICE_CODE,9771: DEFENSE MICROELECTRONICS ACTIVITY (DMEA)
CONTRACTING_OFFICE_CODE,97F7: JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) 
CONTRACTING_OFFICE_CODE,9761: DEFENSE THREAT REDUCTION AGENCY (DTRA)
CONTRACTING_OFFICE_CODE,97F1: DEFENSE MEDIA ACTIVITY (DMA)
CONTRACTING_OFFICE_CODE,1700: DEPT OF THE NAVY
CONTRACTING_OFFICE_CODE,97DH: DEFENSE HEALTH AGENCY (DHA)
CONTRACTING_OFFICE_CODE,97F2: DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)
CONTRACTING_OFFICE_CODE,9748: DEFENSE HUMAN RESOURCES ACTIVITY
CONTRACTING_OFFICE_CODE,97BZ: DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)
CONTRACTING_OFFICE_CODE,97ZS: U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)
CONTRACTING_OFFICE_CODE,9763: DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)
CONTRACTING_OFFICE_CODE,97AZ: DEFENSE COMMISSARY AGENCY  (DECA)
CONTRACTING_OFFICE_CODE,97AV: DEFENSE SECURITY SERVICE
CONTRACTING_OFFICE_CODE,2100: DEPT OF THE ARMY
