label,iname
DATE,07122016
DATE,02232017
DATE,09152017
DATE,10032016
DATE,09232016
DATE,12202016
DATE,08292016
DATE,04022015
DATE,01282016
DATE,08312016
DATE,01192016
DATE,09142016
DATE,10192016
DATE,09162016
DATE,09152015
DATE,06132016
DATE,10202016
DATE,09052016
DATE,07072016
DATE,08032016
DATE,08162013
DATE,07012016
DATE,10012008
DATE,09252015
DATE,03192016
DATE,09112016
DATE,08082016
DATE,08172016
DATE,08202015
DATE,08232016
DATE,09152016
DATE,03222016
DATE,09292016
DATE,06052015
DATE,09242016
DATE,09122016
DATE,06212016
DATE,09182016
DATE,07212016
DATE,11012016
DATE,06032016
DATE,07142016
DATE,07152016
DATE,09162013
DATE,09022016
DATE,10152016
DATE,09202106
DATE,08242016
DATE,08142016
DATE,08192016
DATE,01202017
DATE,07092016
DATE,10212016
DATE,01012017
DATE,08012016
DATE,05312016
DATE,09172016
DATE,06202016
DATE,12012016
DATE,02012016
DATE,09062016
DATE,05242016
DATE,09102016
DATE,09032016
DATE,07262016
DATE,07282016
DATE,05232016
DATE,05062016
DATE,09072016
DATE,05012016
DATE,12072015
DATE,06232016
DATE,01202016
DATE,09282018
DATE,10022016
DATE,05192014
DATE,12192016
DATE,08282016
DATE,06182016
DATE,08252016
DATE,09132016
DATE,08122016
DATE,09302016
DATE,08262016
DATE,10012016
DATE,09282015
DATE,08112016
DATE,10052016
DATE,08302016
DATE,10012015
DATE,08162016
DATE,02172016
DATE,08022016
DATE,05312017
DATE,07062016
DATE,12132016
DATE,09212016
DATE,11032016
DATE,09212017
DATE,02112016
DATE,06292016
DATE,01312017
DATE,01012015
DATE,09272016
DATE,10122016
DATE,09192016
DATE,04012015
DATE,01062016
DATE,06102016
DATE,09232015
DATE,06082016
DATE,09202015
DATE,08152016
DATE,09252016
DATE,05272016
DATE,08222016
DATE,05042016
DATE,10312016
DATE,12312013
DATE,11092016
DATE,04262016
DATE,08182016
DATE,10102016
DATE,10072016
DATE,04152016
DATE,09282016
DATE,05202016
DATE,12282015
DATE,03142016
DATE,01082017
DATE,07252016
DATE,07292016
DATE,11042016
DATE,07132016
DATE,07202016
DATE,07082016
DATE,12162016
DATE,09082016
DATE,09202016
DATE,09092016
DATE,12012014
DATE,02142014
DATE,06302016
DATE,12212016
DATE,08052016
DATE,09262016
DATE,09012016
DATE,09222016
DATE,08132015
