label,iname
NAICS,237110
NAICS,314120
NAICS,321114
NAICS,333613
NAICS,611630
NAICS,331491
NAICS,333922
NAICS,221310
NAICS,541219
NAICS,492110
NAICS,531130
NAICS,326121
NAICS,493190
NAICS,441228
NAICS,541410
NAICS,111140
NAICS,323114
NAICS,213111
NAICS,624210
NAICS,325510
NAICS,532412
NAICS,325520
NAICS,332618
NAICS,236220
NAICS,336412
NAICS,336419
NAICS,311991
NAICS,441320
NAICS,511110
NAICS,335999
NAICS,315299
NAICS,332813
NAICS,326140
NAICS,332912
NAICS,483111
NAICS,541199
NAICS,331111
NAICS,541613
NAICS,336411
NAICS,339914
NAICS,325212
NAICS,339950
NAICS,333612
NAICS,561730
NAICS,444130
NAICS,561621
NAICS,423710
NAICS,315190
NAICS,334210
NAICS,332410
NAICS,322230
NAICS,335121
NAICS,541310
NAICS,515120
NAICS,322220
NAICS,333921
NAICS,339992
NAICS,325120
NAICS,334413
NAICS,238130
NAICS,327910
NAICS,441222
NAICS,333112
NAICS,541511
NAICS,335911
NAICS,326122
NAICS,327332
NAICS,334514
NAICS,444110
NAICS,621511
NAICS,484210
NAICS,334412
NAICS,333298
NAICS,336212
NAICS,333314
NAICS,332992
NAICS,336350
NAICS,315239
NAICS,315280
NAICS,515111
NAICS,325199
NAICS,332710
NAICS,237120
NAICS,446199
NAICS,423310
NAICS,339115
NAICS,332919
NAICS,325998
NAICS,424720
NAICS,325413
NAICS,524210
NAICS,423320
NAICS,541618
NAICS,311511
NAICS,519130
NAICS,315210
NAICS,524114
NAICS,323111
NAICS,332216
NAICS,424120
NAICS,333913
NAICS,339940
NAICS,451140
NAICS,333992
NAICS,332117
NAICS,333997
NAICS,334111
NAICS,512110
NAICS,336370
NAICS,611430
NAICS,337910
NAICS,713940
NAICS,335313
NAICS,722310
NAICS,316210
NAICS,424490
NAICS,335228
NAICS,313210
NAICS,812320
NAICS,337110
NAICS,333132
NAICS,541720
NAICS,237310
NAICS,517911
NAICS,812332
NAICS,326211
NAICS,313310
NAICS,561910
NAICS,333319
NAICS,334510
NAICS,517410
NAICS,334519
NAICS,423410
NAICS,561710
NAICS,517919
NAICS,331222
NAICS,488999
NAICS,562212
NAICS,423490
NAICS,339113
NAICS,444190
NAICS,331492
NAICS,624410
NAICS,335991
NAICS,336390
NAICS,532120
NAICS,331221
NAICS,337214
NAICS,561622
NAICS,316211
NAICS,221112
NAICS,326220
NAICS,333318
NAICS,339944
NAICS,424480
NAICS,524292
NAICS,541850
NAICS,115310
NAICS,212319
NAICS,336330
NAICS,488410
NAICS,333518
NAICS,336360
NAICS,423620
NAICS,423910
NAICS,561320
NAICS,621512
NAICS,327999
NAICS,332215
NAICS,423690
NAICS,562119
NAICS,423720
NAICS,451110
NAICS,313320
NAICS,327213
NAICS,238340
NAICS,443141
NAICS,561611
NAICS,311615
NAICS,562213
NAICS,488390
NAICS,444220
NAICS,611710
NAICS,424950
NAICS,484230
NAICS,213113
NAICS,237130
NAICS,238910
NAICS,332722
NAICS,813410
NAICS,312112
NAICS,811213
NAICS,332911
NAICS,334119
NAICS,332112
NAICS,713990
NAICS,492210
NAICS,611519
NAICS,314910
NAICS,611692
NAICS,488111
NAICS,621112
NAICS,811121
NAICS,621999
NAICS,333519
NAICS,484110
NAICS,325180
NAICS,485999
NAICS,333991
NAICS,541211
NAICS,337127
NAICS,334511
NAICS,517110
NAICS,561612
NAICS,322211
NAICS,334310
NAICS,332111
NAICS,316999
NAICS,324191
NAICS,621111
NAICS,334112
NAICS,335312
NAICS,334613
NAICS,541712
NAICS,333414
NAICS,485510
NAICS,333517
NAICS,333293
NAICS,811211
NAICS,332993
NAICS,315228
NAICS,531110
NAICS,481212
NAICS,212321
NAICS,325612
NAICS,112990
NAICS,311999
NAICS,921190
NAICS,532310
NAICS,488320
NAICS,541330
NAICS,336991
NAICS,624190
NAICS,315220
NAICS,313240
NAICS,221122
NAICS,813910
NAICS,562910
NAICS,531390
NAICS,327310
NAICS,333111
NAICS,811111
NAICS,334515
NAICS,532490
NAICS,339114
NAICS,334516
NAICS,484220
NAICS,337920
NAICS,332994
NAICS,423390
NAICS,721110
NAICS,541380
NAICS,532111
NAICS,481211
NAICS,238390
NAICS,423860
NAICS,333911
NAICS,332991
NAICS,541711
NAICS,333315
NAICS,331511
NAICS,811490
NAICS,561450
NAICS,621491
NAICS,333996
NAICS,334513
NAICS,236118
NAICS,339112
NAICS,488490
NAICS,811198
NAICS,326111
NAICS,423420
NAICS,541930
NAICS,336320
NAICS,333923
NAICS,238120
NAICS,322121
NAICS,334118
NAICS,532420
NAICS,611310
NAICS,811219
NAICS,453210
NAICS,722320
NAICS,711130
NAICS,323113
NAICS,621210
NAICS,511130
NAICS,331313
NAICS,339999
NAICS,622110
NAICS,336999
NAICS,485113
NAICS,541320
NAICS,237990
NAICS,561720
NAICS,811310
NAICS,321991
NAICS,611699
NAICS,532411
NAICS,324110
NAICS,326291
NAICS,311119
NAICS,812331
NAICS,332721
NAICS,532112
NAICS,332420
NAICS,238330
NAICS,333611
NAICS,424920
NAICS,423830
NAICS,488330
NAICS,512210
NAICS,337122
NAICS,315990
NAICS,541810
NAICS,331210
NAICS,541614
NAICS,336415
NAICS,213112
NAICS,336992
NAICS,339994
NAICS,511210
NAICS,336310
NAICS,611620
NAICS,332322
NAICS,314912
NAICS,238190
NAICS,333912
NAICS,333618
NAICS,326113
NAICS,424210
NAICS,322299
NAICS,621410
NAICS,541690
NAICS,335129
NAICS,326191
NAICS,335314
NAICS,333120
NAICS,423610
NAICS,611512
NAICS,423440
NAICS,314999
NAICS,333924
NAICS,424320
NAICS,327215
NAICS,811411
NAICS,336111
NAICS,541990
NAICS,423210
NAICS,519120
NAICS,517212
NAICS,541350
NAICS,332997
NAICS,334290
NAICS,314121
NAICS,331110
NAICS,561110
NAICS,541519
NAICS,921120
NAICS,451211
NAICS,562111
NAICS,541513
NAICS,334512
NAICS,335311
NAICS,541611
NAICS,238290
NAICS,336612
NAICS,336112
NAICS,711510
NAICS,541710
NAICS,423840
NAICS,442110
NAICS,562211
NAICS,811412
NAICS,561210
NAICS,332321
NAICS,443120
NAICS,488190
NAICS,331315
NAICS,335912
NAICS,621330
NAICS,336611
NAICS,325992
NAICS,532210
NAICS,238110
NAICS,332913
NAICS,332323
NAICS,424130
NAICS,326199
NAICS,493110
NAICS,332510
NAICS,325412
NAICS,339111
NAICS,488310
NAICS,316213
NAICS,325320
NAICS,335221
NAICS,316998
NAICS,334419
NAICS,333316
NAICS,325920
NAICS,335222
NAICS,531120
NAICS,325411
NAICS,811118
NAICS,813110
NAICS,339920
NAICS,333294
NAICS,337121
NAICS,238320
NAICS,323117
NAICS,925110
NAICS,238990
NAICS,712120
NAICS,334416
NAICS,562991
NAICS,332213
NAICS,311812
NAICS,621340
NAICS,315999
NAICS,484121
NAICS,212312
NAICS,517210
NAICS,561990
NAICS,519190
NAICS,813920
NAICS,721211
NAICS,811212
NAICS,314110
NAICS,333241
NAICS,315240
NAICS,518210
NAICS,481219
NAICS,339910
NAICS,332312
NAICS,336120
NAICS,322221
NAICS,523910
NAICS,541370
NAICS,335921
NAICS,333993
NAICS,336413
NAICS,335931
NAICS,532299
NAICS,238210
NAICS,423430
NAICS,561920
NAICS,332313
NAICS,423110
NAICS,621910
NAICS,332999
NAICS,488510
NAICS,541620
NAICS,221330
NAICS,238220
NAICS,484122
NAICS,454310
NAICS,424410
NAICS,312130
NAICS,314994
NAICS,333415
NAICS,238350
NAICS,321920
NAICS,238160
NAICS,621399
NAICS,311421
NAICS,236210
NAICS,326299
NAICS,336211
NAICS,331318
NAICS,326150
NAICS,315225
NAICS,334418
NAICS,321918
NAICS,562998
NAICS,321999
NAICS,333999
NAICS,339991
NAICS,333413
NAICS,423120
NAICS,541512
NAICS,312113
NAICS,541360
NAICS,111992
NAICS,221210
NAICS,424990
NAICS,562112
NAICS,562219
NAICS,322232
NAICS,334417
NAICS,334614
NAICS,515210
NAICS,331529
NAICS,423450
NAICS,424690
NAICS,332996
NAICS,335110
NAICS,511120
NAICS,334220
NAICS,336414
NAICS,325910
NAICS,335122
NAICS,423850
NAICS,423740
NAICS,337215
NAICS,333515
NAICS,335932
NAICS,325611
NAICS,335929
NAICS,332439
NAICS,561790
NAICS,333249
NAICS,325211
NAICS,485410
NAICS,923110
NAICS,332613
NAICS,928110
NAICS,541612
NAICS,337211
NAICS,512120
NAICS,336340
NAICS,332311
NAICS,453998
NAICS,331420
NAICS,561492
NAICS,611420
