label,iname
congressionaldistrict,11
congressionaldistrict,30
congressionaldistrict,49
congressionaldistrict,02
congressionaldistrict,15
congressionaldistrict,05
congressionaldistrict,23
congressionaldistrict,17
congressionaldistrict,37
congressionaldistrict,22
congressionaldistrict,03
congressionaldistrict,48
congressionaldistrict,21
congressionaldistrict,08
congressionaldistrict,19
congressionaldistrict,33
congressionaldistrict,07
congressionaldistrict,32
congressionaldistrict,10
congressionaldistrict,09
congressionaldistrict,52
congressionaldistrict,31
congressionaldistrict,04
congressionaldistrict,13
congressionaldistrict,14
congressionaldistrict,20
congressionaldistrict,27
congressionaldistrict,01
congressionaldistrict,18
congressionaldistrict,00
congressionaldistrict,25
congressionaldistrict,26
congressionaldistrict,06
congressionaldistrict,12
congressionaldistrict,24
congressionaldistrict,47
