ZIP_CODE,CONTRACTING_OFFICE_CODE,DEPARTMENT_NAME,ADDRESS_STATE,ADDRESS_CITY,label,START_DATE,CONTRACTING_OFFICE_NAME,COUNTRY_CODE,iname,AGENCY_NAME,AGENCY_CODE
20189,95T811,BROADCASTING BOARD OF GOVERNORS,VA,DULLES,contracting_office,04/01/2016 00:00:00,TSI EAST AFRICA REG OFFICE-JOBURG,USA,bb88d006-89d1-11e7-89d0-1cc1de329608,BROADCASTING BOARD OF GOVERNORS,9568
57105,366705,"VETERANS AFFAIRS, DEPARTMENT OF",SD,SIOUX FALLS,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS,USA,bb5f0a2e-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
85707-4100,FA4704,DEPT OF DEFENSE,AZ,DAVIS MONTHAN AFB,contracting_office,10/01/2011 00:00:00,FA4704  12 AF HQ A7K,USA,bbaaf768-89d1-11e7-89d0-1cc1de329608,DEPT OF THE AIR FORCE,5700
17013-5072,W91QF0,DEPT OF DEFENSE,PA,CARLISLE BARRACKS,contracting_office,12/01/2014 00:00:00,W6QM MICC-CARLISLE BARRACKS,USA,bba6c1f0-89d1-11e7-89d0-1cc1de329608,DEPT OF THE ARMY,2100
20560,333195,SMITHSONIAN INSTITUTION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,OFFICE OF THE UNDERSECRETARY,USA,bb56a64c-89d1-11e7-89d0-1cc1de329608,SMITHSONIAN INSTITUTION,3300
30069-0001,W912JM,DEPT OF DEFENSE,GA,MARIETTA,contracting_office,10/01/2003 00:00:00,W7M3 USPFO ACTIVITY GA ARNG,USA,bba6bfc0-89d1-11e7-89d0-1cc1de329608,DEPT OF THE ARMY,2100
20220,2031KZ,"TREASURY, DEPARTMENT OF THE",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,TREASURY DEPARTMENTAL OFFICES,USA,bb52741e-89d1-11e7-89d0-1cc1de329608,DEPARTMENTAL OFFICES,2001
16504-1596,362410,"VETERANS AFFAIRS, DEPARTMENT OF",PA,ERIE,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS,USA,bb56a974-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
01731-1700,FA8707,DEPT OF DEFENSE,MA,HANSCOM AFB,contracting_office,10/01/2011 00:00:00,FA8707  ESC HSK,USA,bbb35644-89d1-11e7-89d0-1cc1de329608,DEPT OF THE AIR FORCE,5700
20737,123LAR,"AGRICULTURE, DEPARTMENT OF",MD,RIVERDALE,contracting_office,04/01/2016 00:00:00,USDA  APHIS  LPA  PA,USA,bb0ee94c-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
20523-1000,72HCTM,AGENCY FOR INTERNATIONAL DEVELOPMENT,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,USAID HCTM,USA,bb807b84-89d1-11e7-89d0-1cc1de329608,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200
63103,S0505A,DEPT OF DEFENSE,MO,SAINT LOUIS,contracting_office,10/01/2004 00:00:00,DCMA TRANSPORTATION BRANCH,USA,bbb35834-89d1-11e7-89d0-1cc1de329608,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),9763
43218-3990,SPM740,DEPT OF DEFENSE,OH,COLUMBUS,contracting_office,10/01/2004 00:00:00,DLA LAND AND MARITIME,USA,bbbffed6-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
68501-1866,1265NA,"AGRICULTURE, DEPARTMENT OF",NE,LINCOLN,contracting_office,04/01/2016 00:00:00,USDA  APHIS  ADC,USA,bb1bb5b6-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
33158,1242AJ,"AGRICULTURE, DEPARTMENT OF",FL,PALMETTO BAY,contracting_office,04/01/2016 00:00:00,USDA APHIS PPQ ALB,USA,bb131fcc-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
08320,15UFA1,"JUSTICE, DEPARTMENT OF",NJ,FAIRTON,contracting_office,04/01/2016 00:00:00,FCI FAIRTON,USA,bb3d505e-89d1-11e7-89d0-1cc1de329608,FEDERAL PRISON INDUSTRIES / UNICOR,1542
46628,1252LA,"AGRICULTURE, DEPARTMENT OF",IN,SOUTH BEND,contracting_office,04/01/2016 00:00:00,USDA  AMS  FRUIT AND VEGETABLE DIV,USA,bb02417a-89d1-11e7-89d0-1cc1de329608,AGRICULTURAL MARKETING SERVICE,12K2
23324,123367,"AGRICULTURE, DEPARTMENT OF",VA,CHESAPEAKE,contracting_office,04/01/2016 00:00:00,USDA GIPSA,USA,bb285d58-89d1-11e7-89d0-1cc1de329608,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",12K4
30329,364338,"VETERANS AFFAIRS, DEPARTMENT OF",GA,ATLANTA,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS (742/004),USA,bb5adcbe-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
20520,19M160,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,AMERICAN EMBASSY LILONGWE,USA,bb4e4282-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
08876,362216,"VETERANS AFFAIRS, DEPARTMENT OF",NJ,SOMERVILLE,contracting_office,04/01/2016 00:00:00,VA ASSET MGMT FACILITY 794,USA,bb56a86c-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
95219,15B600,"JUSTICE, DEPARTMENT OF",CA,STOCKTON,contracting_office,04/01/2016 00:00:00,DEPT OF JUSTICE BUREAU OF PRISONS,USA,bb3d4ea6-89d1-11e7-89d0-1cc1de329608,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,1540
90815,36C262,"VETERANS AFFAIRS, DEPARTMENT OF",CA,LONG BEACH,contracting_office,04/01/2016 00:00:00,262-NETWORK CONTRACT OFC 22(00262),USA,bb633ad0-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
20166,693C73,"TRANSPORTATION, DEPARTMENT OF",VA,STERLING,contracting_office,04/01/2016 00:00:00,FHWA - EASTERN FED LANDS DIVISION,USA,bb781b7e-89d1-11e7-89d0-1cc1de329608,FEDERAL HIGHWAY ADMINISTRATION,6925
32212-0049,N09162,DEPT OF DEFENSE,FL,JACKSONVILLE,contracting_office,10/01/2006 00:00:00,PATROL SQUADRON 62 VP 62,USA,bb8d462a-89d1-11e7-89d0-1cc1de329608,DEPT OF THE NAVY,1700
07019,362214,"VETERANS AFFAIRS, DEPARTMENT OF",NJ,EAST ORANGE,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS,USA,bb56a85c-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
33158,124273,"AGRICULTURE, DEPARTMENT OF",FL,MIAMI,contracting_office,04/01/2016 00:00:00,USDA APHIS PPQ,USA,bb131f5c-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
20520,19SF30,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,AMERICAN CONSULATE DURBAN,USA,bb4e4472-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
87117,FA9451,DEPT OF DEFENSE,NM,KIRTLAND AFB,contracting_office,10/01/2004 00:00:00,FA9451  DET 8  AFRL PKD,USA,bbb35794-89d1-11e7-89d0-1cc1de329608,DEPT OF THE AIR FORCE,5700
20405,47MD00,GENERAL SERVICES ADMINISTRATION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,OFFICE OF GOVERNMENTWIDE POLICY,USA,bb78185e-89d1-11e7-89d0-1cc1de329608,OFFICE OF GOVERNMENT WIDE POLICY,4745
29590,15B316,"JUSTICE, DEPARTMENT OF",SC,SALTERS,contracting_office,04/01/2016 00:00:00,DEPT OF JUSTICE BUREAU OF PRISONS,USA,bb3923fe-89d1-11e7-89d0-1cc1de329608,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,1540
02203,15DDB0,"JUSTICE, DEPARTMENT OF",MA,BOSTON,contracting_office,04/01/2016 00:00:00,BOSTON MA DIVISION OFFICE,USA,bb39217e-89d1-11e7-89d0-1cc1de329608,DRUG ENFORCEMENT ADMINISTRATION,1524
92154,129163,"AGRICULTURE, DEPARTMENT OF",CA,SAN DIEGO,contracting_office,04/01/2016 00:00:00,USDA  APHIS  PPQ,USA,bb24254a-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
43551-3014,N61999,DEPT OF DEFENSE,OH,PERRYSBURG,contracting_office,10/01/2006 00:00:00,NAVOPSPTCEN TOLEDO,USA,bb95caa2-89d1-11e7-89d0-1cc1de329608,DEPT OF THE NAVY,1700
19111-5096,SPM3SE,DEPT OF DEFENSE,PA,PHILADELPHIA,contracting_office,10/01/2005 00:00:00,DLA TROOP SUPPORT,USA,bbbffd9e-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
