label,iname
effectivedate,10/27/2016
effectivedate,12/28/2016
effectivedate,3/27/2017
effectivedate,12/13/2016
effectivedate,2/27/2017
effectivedate,1/30/2016
effectivedate,3/20/2017
effectivedate,2/15/2017
effectivedate,2/9/2017
effectivedate,10/18/2016
effectivedate,12/15/2016
effectivedate,12/5/2016
effectivedate,1/2/2017
effectivedate,10/24/2016
effectivedate,12/19/2016
effectivedate,1/26/2017
effectivedate,10/28/2016
effectivedate,11/23/2016
effectivedate,1/23/2017
effectivedate,1/24/2017
effectivedate,3/29/2017
effectivedate,12/31/2016
effectivedate,12/27/2016
effectivedate,5/15/2017
effectivedate,5/18/2017
effectivedate,10/19/2016
effectivedate,4/25/2017
effectivedate,11/8/2016
effectivedate,10/20/2016
effectivedate,12/8/2016
effectivedate,10/26/2016
effectivedate,11/7/2016
effectivedate,12/22/2016
effectivedate,10/21/2016
effectivedate,11/15/2016
effectivedate,12/7/2016
effectivedate,5/3/2017
effectivedate,3/14/2017
effectivedate,11/29/2016
effectivedate,2/14/2017
effectivedate,5/1/2017
effectivedate,4/24/2017
effectivedate,3/6/2017
effectivedate,1/15/2017
effectivedate,10/25/2016
effectivedate,5/19/2017
effectivedate,1/4/2017
effectivedate,2/4/2017
effectivedate,2/13/2017
effectivedate,3/13/2017
effectivedate,11/21/2016
effectivedate,12/9/2016
effectivedate,12/6/2016
effectivedate,11/13/2016
effectivedate,4/11/2017
effectivedate,11/16/2016
effectivedate,3/15/2017
effectivedate,10/17/2016
effectivedate,9/19/2016
effectivedate,1/19/2017
effectivedate,4/14/2017
effectivedate,4/26/2017
effectivedate,11/28/2016
effectivedate,4/27/2017
effectivedate,5/9/2017
effectivedate,5/23/2017
effectivedate,2/10/2017
effectivedate,12/20/2016
effectivedate,2/24/2017
effectivedate,5/16/2017
effectivedate,11/17/2016
effectivedate,12/1/2016
effectivedate,1/26/2016
effectivedate,10/4/2016
effectivedate,4/15/2017
effectivedate,12/2/2016
effectivedate,3/9/2017
effectivedate,11/30/2016
effectivedate,4/13/2017
effectivedate,10/6/2016
effectivedate,11/2/2016
effectivedate,5/11/2017
effectivedate,1/6/2017
effectivedate,9/30/2016
effectivedate,7/1/2017
effectivedate,1/28/2017
effectivedate,10/23/2016
effectivedate,10/5/2016
effectivedate,12/21/2016
effectivedate,2/7/2017
effectivedate,5/4/2017
effectivedate,1/27/2017
effectivedate,12/14/2016
effectivedate,12/12/2016
effectivedate,1/18/2017
effectivedate,10/12/2016
effectivedate,12/29/2016
effectivedate,2/22/2017
effectivedate,3/22/2017
effectivedate,4/1/2017
effectivedate,3/24/2017
effectivedate,10/3/2016
effectivedate,4/18/2017
effectivedate,1/25/2017
effectivedate,5/12/2017
effectivedate,11/12/2016
effectivedate,10/14/2016
effectivedate,3/3/2017
effectivedate,1/13/2017
effectivedate,3/7/2017
effectivedate,1/20/2017
effectivedate,4/4/2017
effectivedate,4/17/2017
effectivedate,3/8/2017
effectivedate,5/8/2017
effectivedate,3/10/2017
effectivedate,11/27/2016
effectivedate,3/21/2017
effectivedate,3/17/2017
effectivedate,9/23/2016
effectivedate,5/10/2017
effectivedate,1/1/2017
effectivedate,5/5/2017
effectivedate,3/2/2017
effectivedate,11/18/2016
effectivedate,11/4/2016
effectivedate,3/1/2017
effectivedate,5/22/2017
effectivedate,5/17/2017
effectivedate,10/31/2016
effectivedate,11/20/2016
effectivedate,4/28/2017
effectivedate,4/7/2017
effectivedate,1/11/2017
effectivedate,4/12/2017
effectivedate,2/2/2017
effectivedate,10/11/2016
effectivedate,10/7/2016
effectivedate,1/31/2017
effectivedate,2/1/2017
effectivedate,5/2/2017
effectivedate,3/30/2017
effectivedate,11/25/2016
effectivedate,2/23/2017
effectivedate,1/16/2016
effectivedate,12/4/2016
effectivedate,2/6/2017
effectivedate,4/3/2017
effectivedate,3/23/2017
effectivedate,4/19/2017
effectivedate,2/8/2017
effectivedate,11/9/2016
effectivedate,3/31/2017
effectivedate,11/3/2016
effectivedate,12/16/2016
effectivedate,4/10/2017
effectivedate,3/16/2017
effectivedate,2/21/2017
effectivedate,9/3/2016
effectivedate,1/10/2017
effectivedate,1/17/2017
effectivedate,4/30/2017
effectivedate,3/28/2017
effectivedate,4/6/2017
effectivedate,2/17/2017
effectivedate,4/21/2017
effectivedate,11/10/2016
effectivedate,4/5/2017
effectivedate,1/3/2017
effectivedate,11/1/2016
effectivedate,2/28/2017
effectivedate,12/30/2016
effectivedate,10/13/2016
effectivedate,1/5/2017
effectivedate,1/9/2017
effectivedate,5/20/2017
effectivedate,1/30/2017
effectivedate,11/22/2016
effectivedate,12/23/2016
effectivedate,1/12/2017
effectivedate,2/3/2017
effectivedate,4/20/2017
effectivedate,2/16/2017
