label,iname
piid,HR001117C0017
piid,HR001115C0098
piid,HR001115C0097
piid,HR001116C0036
piid,HR001117C0036
piid,HR001117C0020
piid,HR001114C0098
piid,HR001116F0004
piid,HR001115C0079
piid,0060
piid,HR001114C0061
piid,HR001117C0038
piid,HR001115C0025
piid,0057
piid,HR001117C0002
piid,HR001117P0001
piid,HR001116C0097
piid,HR001115C0066
piid,HR001115C0116
piid,0066
piid,HR001116C0099
piid,HR001116C0079
piid,HR001115C0149
piid,HR001115C0147
piid,HR001115C0112
piid,HR001116F0005
piid,HR001115C0139
piid,HR001117F0002
piid,HR001115C0110
piid,HR001117P0006
piid,HR001115C0154
piid,HR001116C0129
piid,HR001115F0002
piid,HR001117C0077
piid,HR001117C0018
piid,HR001117C0027
piid,HR001114C0093
piid,HR001116F0003
piid,HR001117C0048
piid,HR001116C0125
piid,HR001117C0024
piid,HR001116C0082
piid,HR001116C0006
piid,HR001116C0044
piid,HR001113C0023
piid,0065
piid,HR001115C0034
piid,HR001115C0141
piid,HR001117C0011
piid,HR001117D0001
piid,0005
piid,HR001117F0017
piid,HR001113C0068
piid,HR001114C0067
piid,HR001111C0105
piid,HR001116C0096
piid,0055
piid,HR001115C0037
piid,0069
piid,HR001115C0115
piid,HR001117C0058
piid,HR001112C0035
piid,HR001112C0024
piid,HR001116C0100
piid,HR001117C0012
piid,HR001114C0066
piid,HR001116C0042
piid,HR001116C0071
piid,HR001114C0020
piid,HR001117C0047
piid,HR001111C0033
piid,HR001116C0032
piid,HR001116C0046
piid,HR001115C0078
piid,HR001117F0019
piid,HR001113C0035
piid,HR001117F0012
piid,HR001116C0133
piid,HR001112C0083
piid,HR001115C0081
piid,HR001112C0037
piid,HR001114C0092
piid,HR001116C0027
piid,HR001116P0035
piid,HR001116C0135
piid,0067
piid,HR001117C0060
piid,HR001110C0020
piid,HR001116C0088
piid,HR001116C0136
piid,HR001114C0014
piid,HR001114C0062
piid,HR001116C0102
piid,HR001113C0075
piid,HR001116C0057
piid,HR001117F0015
piid,HR001116C0058
piid,HR001110C0086
piid,HR001116C0118
piid,HR001116C0137
piid,HR001114C0065
piid,HR001116C0095
piid,HR001115C0094
piid,HR001117C0054
piid,HR001114C0053
piid,HR001114C0018
piid,HR001116C0051
piid,HR001117C0022
piid,HR001116C0132
piid,HR001109C0096
piid,HR001116C0048
piid,HR001117F0011
piid,HR001116C0060
piid,HR001115C0138
piid,HR001117P0004
piid,HR001115C0120
piid,HR001116C0053
piid,HR001115C0103
piid,HR001107C0040
piid,HR001113C0069
piid,HR001115C0001
piid,HR001116C0081
piid,0010
piid,HR001117C0026
piid,HR001116C0019
piid,0051
piid,HR001117C0070
piid,HR001109C0061
piid,HR001115C0091
piid,HR001115C0093
piid,HR001117C0056
piid,HR001117F0003
piid,HR001115C0123
piid,HR001117C0025
piid,HR001116C0050
piid,HR001114C0083
piid,HR001116C0123
piid,HR001112P0007
piid,HR001116C0126
piid,HR001117C0014
piid,HR001116C0001
piid,HR001115C0102
piid,HR001116C0009
piid,HR001117C0003
piid,HR001114C0009
piid,HR001117C0009
piid,HR001107C0039
piid,HR001115C0137
piid,HR001116C0104
piid,HR001117C0043
piid,HR001117C0016
piid,HR001116C0101
piid,HR001117C0004
piid,HR001113C0030
piid,HR001115C0056
piid,HR001116C0119
piid,HR001116C0098
piid,HR001112C0086
piid,HR001115C0030
piid,HR001115C0064
piid,0047
piid,HR001117P0002
piid,HR001117P0011
piid,HR001117C0074
piid,HR001117C0008
piid,0006
piid,HR001110C0100
piid,HR001115F0001
piid,HR001116P0032
piid,HR001115C0084
piid,HR001117C0034
piid,HR001116C0059
piid,HR001117F0009
piid,HR001113C0077
piid,HR001116C0105
piid,HR001116C0106
piid,HR001117C0099
piid,HR001114D0001
piid,HR001115C0023
piid,HR001116C0103
piid,0004
piid,HR001117C0078
piid,HR001117P0005
piid,HR001116C0127
piid,HR001113C0034
piid,HR001117C0013
piid,HR001115C0131
piid,HR001116C0093
piid,HR001117P0008
piid,HR001115C0021
piid,HR001116C0080
piid,HR001116C0115
piid,HR001115C0009
piid,HR001116C0002
piid,HR001112C0039
piid,0039
piid,0059
piid,HR001116C0034
piid,0062
piid,HR001117C0067
piid,HR001115C0032
piid,HR001116C0116
piid,HR001116C0017
piid,HR001117C0049
piid,HR001115C0058
piid,HR001116C0110
piid,HR001116C0028
piid,HR001117F0014
piid,HR001116C0039
piid,HR001117F0007
piid,HR001109C0062
piid,HR001113C0052
piid,HR001115C0010
piid,HR001117C0032
piid,HR001117C0007
piid,HR001115C0146
piid,HR001116C0107
piid,HR001112C0036
piid,HR001117C0061
piid,HR001116F0002
piid,HR001117C0059
piid,HR001117C0053
piid,0011
piid,HR001115C0048
piid,HR001113C0047
piid,HR001117C0055
piid,HR001110C0128
piid,HR001115C0008
piid,HR001116C0086
piid,HR001117P0007
piid,HR001115C0003
piid,HR001116C0130
piid,HR001117C0015
piid,0068
piid,HR001117C0010
piid,HR001116C0049
piid,HR001114C0048
piid,HR001116C0108
piid,HR001115C0007
piid,HR001115C0114
piid,0046
piid,HR001116C0052
piid,HR001116C0035
piid,HR001116C0117
piid,HR001116C0054
piid,HR001114C0017
piid,0002
piid,HR001112C0040
piid,HR001115C0140
piid,0058
piid,HR001114F0001
piid,HR001112C0008
piid,HR001116C0021
piid,HR001114C0096
piid,HR001115C0062
piid,0001
piid,HR001113C0098
piid,HR001114C0023
piid,HR001114C0047
piid,HR001116C0112
piid,HR001115C0057
piid,HR001113C0003
piid,HR001115C0128
piid,HR001116C0008
piid,HR001113C0029
piid,HR001116C0111
piid,HR001117C0045
piid,HR001117F0023
piid,HR001111C0139
piid,HR001115C0027
piid,HR001117C0019
piid,HR001114C0005
piid,HR001115C0096
piid,HR001109C0105
piid,HR001116C0077
piid,HR001114C0128
piid,HR001117C0057
piid,HR001115C0022
piid,HR001113C0078
piid,HR001117C0042
piid,HR001117C0023
piid,HR001111F0001
piid,HR001113C0094
piid,HR001114C0137
piid,HR001115C0038
piid,HR001116C0040
piid,HR001117C0050
piid,HR001117C0029
piid,HR001115C0095
piid,HR001116C0121
piid,HR001111C0095
piid,HR001116C0078
piid,HR001116C0083
piid,HR001114F0002
piid,HR001117C0046
piid,HR001114C0108
piid,HR001115C0125
piid,HR001116C0041
piid,HR001115C0035
piid,HR001116C0014
piid,HR001117C0006
piid,HR001116C0010
piid,HR001112C0011
piid,HR001117F0013
piid,HR001116C0139
piid,HR001117F0006
piid,HR001115C0135
piid,HR001116C0055
piid,HR001116C0024
piid,HR001116C0025
piid,HR001116C0020
piid,HR001117C0005
piid,HR001109C0116
piid,HR001115C0145
piid,HR001117C0083
piid,HR001117F0004
piid,HR001117F0010
piid,HR001116C0011
piid,HR001116C0122
piid,HR001116C0061
piid,HR001116C0085
piid,HR001117C0051
piid,HR001117F0005
piid,HR001104C0151
piid,0049
piid,0063
piid,HR001117C0040
piid,0070
piid,HR001116C0091
piid,HR001114C0051
piid,HR001117C0052
piid,HR001115F0005
piid,HR001116C0114
piid,HR001115C0039
piid,HR001117F0001
piid,HR001117F0008
piid,HR001117P0009
piid,HR001115C0142
piid,HR001108C0004
piid,HR001115F0004
piid,HR001109C0036
piid,HR001115C0033
piid,HR001115C0055
piid,HR001114C0079
piid,HR001116C0065
piid,HR001117C0033
piid,HR001117P0012
piid,HR001116A0002
piid,HR001114C0032
piid,HR001116C0131
piid,HR001116C0138
piid,HR001116C0004
piid,HR001116C0120
piid,HR001115C0077
piid,HR001117C0001
piid,HR001115C0150
piid,HR001113C0051
piid,HR001117C0030
piid,HR001110C0057
piid,HR001112C0095
piid,HR001116P0022
piid,HR001116C0023
piid,0003
piid,HR001116C0045
piid,HR001117P0003
piid,HR001115C0134
piid,HR001117F0022
piid,HR001114C0054
piid,HR001116C0015
piid,HR001116C0113
piid,HR001117C0041
piid,HR001114C0111
piid,HR001116C0066
piid,HR001111C0072
piid,HR001112C0094
piid,HR001116C0094
