label,iname
vendorname,"AUTOMEDX, INC."
vendorname,"US FITNESS HOLDINGS, LLC"
vendorname,"TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK, THE"
vendorname,ECOVATIVE DESIGN LLC
vendorname,ANALOG PHOTONICS LLC
vendorname,"COLDQUANTA, INC."
vendorname,"AGILE DEFENSE, INC."
vendorname,UNIVERSITY OF NEW SOUTH WALES
vendorname,SRI INTERNATIONAL
vendorname,"FOURANDSIX TECHNOLOGIES, INC."
vendorname,GOVERNMENT CONTRACT SOLUTIONS INC
vendorname,"SCIENCE AND ENGINEERING SERVICES, LLC"
vendorname,CALIFORNIA INSTITUTE OF TECHNOLOGY
vendorname,GROUP W INC.
vendorname,"CIRCUIT THERAPEUTICS, INC."
vendorname,GEORGE MASON UNIVERSITY
vendorname,TERAVAC
vendorname,"SENTI BIOSCIENCES, INC."
vendorname,"PROPORTIONAL TECHNOLOGIES, INC."
vendorname,"GALLUP GOVERNMENT, INC."
vendorname,G K N AEROSPACE NORTH AMERICA INC.
vendorname,INTERNATIONAL BUSINESS MACHINES CORPORATION
vendorname,LOCKHEED MARTIN CORPORATION
vendorname,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY
vendorname,CACI INC FEDERAL
vendorname,REGENTS OF THE UNIVERSITY OF MICHIGAN
vendorname,NORTHROP GRUMMAN SYSTEMS CORPORATION
vendorname,"AKAMAI TECHNOLOGIES, INC."
vendorname,FONDATION VOIR ET ENTENDRE
vendorname,"AOSENSE, INC."
vendorname,"APOGEE RESEARCH, LLC"
vendorname,SPARKS & HONEY LLC
vendorname,"BOEING COMPANY, THE"
vendorname,"SRC, INC."
vendorname,"JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC, THE"
vendorname,UNIVERSITY OF SOUTHERN CALIFORNIA
vendorname,"HELIOS REMOTE SENSING SYSTEMS, INC."
vendorname,DUKE UNIVERSITY
vendorname,SELEX GALILEO INC.
vendorname,"OREGON PREMIER LOCATIONS, LLC"
vendorname,"MAKAI OCEAN ENGINEERING, INC."
vendorname,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA
vendorname,UNIVERSITY OF WISCONSIN SYSTEM
vendorname,PALO ALTO RESEARCH CENTER INCORPORATED
vendorname,"DRS NETWORK & IMAGING SYSTEMS, LLC"
vendorname,SYSTEMS &amp; TECHNOLOGY RESEARCH LLC
vendorname,HONEYWELL INTERNATIONAL INC.
vendorname,"SUMMIT2SEA CONSULTING, LLC"
vendorname,"OEWAVES, INC."
vendorname,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC."
vendorname,QUANTUM DIAMOND TECHNOLOGIES INC
vendorname,"GOLDS GYM INTERNATIONAL, INC."
vendorname,"INVINCEA LABS, LLC"
vendorname,BOOZ ALLEN HAMILTON INC.
vendorname,"LEIDOS, INC."
vendorname,BALL AEROSPACE & TECHNOLOGIES CORP.
vendorname,REGENTS OF THE UNIVERSITY OF MINNESOTA
vendorname,NORTHWIND ENTERPRISES INCORPORATED
vendorname,SIKORSKY AIRCRAFT CORPORATION
vendorname,"NOVAWURKS, INC."
vendorname,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC."
vendorname,KONIAG INFORMATION SECURITY SERVICES LLC
vendorname,"FIBERTEK, INC."
vendorname,MAYO CLINIC
vendorname,MINISTRY OF DEFENCE
vendorname,"VANDERBILT UNIVERSITY, THE"
vendorname,"SPORT &amp; HEALTH CLUBS, L.C."
vendorname,APPLIED SYSTEMS & TECHNOLOGY TRANSFER LLC
vendorname,UNIVERSITY OF MASSACHUSETTS
vendorname,BALL AEROSPACE &amp; TECHNOLOGIES CORP.
vendorname,"DRS NETWORK &amp; IMAGING SYSTEMS, LLC"
vendorname,BOOZ ALLEN HAMILTON INCORPORATED (3626)
vendorname,HARRIS CORPORATION
vendorname,SIEMENS CORPORATION
vendorname,"RESURGO, LLC"
vendorname,"HRL LABORATORIES, LLC"
vendorname,"SIX3 ADVANCED SYSTEMS, INC."
vendorname,"GALOIS, INC."
vendorname,COMMUNICATIONS & POWER INDUSTRIES LLC
vendorname,"LOCKHEED MARTIN COHERENT TECHNOLOGIES, INC."
vendorname,SENSORS UNLIMITED INC
vendorname,"CERADYNE, INC."
vendorname,"BREEN, DAVID M"
vendorname,SYSTEM HIGH CORPORATION
vendorname,ANALYTIC SERVICES INC
vendorname,"CORNELL UNIVERSITY, INC"
vendorname,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA"
vendorname,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION I
vendorname,LGS INNOVATIONS LLC
vendorname,CARNEGIE MELLON UNIVERSITY
vendorname,"CHARLES STARK DRAPER LABORATORY, INC., THE"
vendorname,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
vendorname,RAYTHEON COMPANY
vendorname,"MILLENNIUM SPACE SYSTEMS, INC."
vendorname,"FUNCTIONAL GENETICS, INC."
vendorname,GRID LOGIC
vendorname,"ARTEL, INC."
vendorname,"HALFAKER AND ASSOCIATES, LLC"
vendorname,"MV INNOVATIVE TECHNOLOGIES, LLC"
vendorname,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.
vendorname,MZA ASSOCIATES CORPORATION
vendorname,"ROCKWELL COLLINS, INC."
vendorname,"DYNAMIC OBJECT LANGUAGE LABS, INC."
vendorname,"IBIS BIOSCIENCES, INC."
vendorname,"ACTUATED MEDICAL, INC."
vendorname,STS SYSTEMS INTEGRATION
vendorname,"VADUM, INC."
vendorname,M.M.A. DESIGN LLC
vendorname,KROMEK LTD
vendorname,"REGENTS OF THE UNIVERSITY OF COLORADO, THE"
vendorname,"UNEQ CONSULTING, LLC"
vendorname,"SPARK THERMIONICS, INC."
vendorname,UNIVERSITY OF TEXAS AT AUSTIN
vendorname,"APTIMA, INC."
vendorname,"VOXTEL, INC."
vendorname,LOCKHEED MARTIN ACULIGHT CORPORATION
vendorname,"MID-ATLANTIC PARKING SERVICES, INC."
vendorname,MR NITIN KUMAR PURI
vendorname,UNIVERSITY OF ILLINOIS
vendorname,TREX ENTERPRISES CORPORATION
vendorname,SILVERSIDE DETECTORS INC.
vendorname,KFORCE GOVERNMENT SOLUTIONS INCORPORATED
vendorname,"EARL, CHRISTOPHER ROBERT"
vendorname,GENERAL ELECTRIC COMPANY
vendorname,SYSTEMS & TECHNOLOGY RESEARCH LLC
vendorname,"EXECUTECH STRATEGIC CONSULTING, LLC"
vendorname,ADELPHI TECHNOLOGY INC
vendorname,NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP.
vendorname,SOUTHERN RESEARCH INSTITUTE
vendorname,"JOHNS HOPKINS UNIVERSITY, THE"
vendorname,"GENERAL DYNAMICS MISSION SYSTEMS, INC"
vendorname,AURORA FLIGHT SCIENCES CORPORATION
vendorname,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA
vendorname,"MORSECORP, INC"
vendorname,GEOMETRIC DATA ANALYTICS
vendorname,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE"
vendorname,BEN FRY LLC
vendorname,PLASAN SASA LTD.
vendorname,SOUTHWEST RESEARCH INSTITUTE
vendorname,"VENCORE LABS, INC."
vendorname,ARETE ASSOCIATES
vendorname,SOUTHERN METHODIST UNIVERSITY INC
vendorname,INSTITUTE FOR STRATEGIC AND INNOVATIVE TECHNOLOGIES
vendorname,STARFIRE INDUSTRIES LLC
vendorname,APPEN BUTLER HILL INC.
vendorname,DEKA INTEGRATED SOLUTIONS CORP.
vendorname,TECHNOLOGY SERVICE CORPORATION
vendorname,MCLAUGHLIN RESEARCH CORPORATION
vendorname,"BIOMATRICA, INC."
vendorname,SYSTEM PLANNING CORPORATION
vendorname,"NEUMITRA, INC."
vendorname,ALLIANT TECHSYSTEMS OPERATIONS LLC
vendorname,JHPIEGO CORPORATION (4444)
vendorname,BATTELLE MEMORIAL INSTITUTE
vendorname,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK INC
